tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s10_A	atoll	10	A	US	_v541quiet	Core destroyed	313	0	1780	180
atoll_s10_B	atoll	10	B	US	_v541quiet	Core destroyed	155	0	970	440
atoll_s11_A	atoll	11	A	OPP	_v488beltbreak2	Core destroyed	338	0	1500	2890
atoll_s11_B	atoll	11	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	5390	12170
atoll_s12_A	atoll	12	A	US	_v541quiet	Titanium collected (tiebreak)	1000	0	2200	70
atoll_s12_B	atoll	12	B	US	_v541quiet	Core destroyed	353	0	370	680
drakkarfjord_s10_A	drakkarfjord	10	A	US	_v541quiet	Core destroyed	112	0	320	0
drakkarfjord_s10_B	drakkarfjord	10	B	US	_v541quiet	Core destroyed	100	0	300	0
drakkarfjord_s11_A	drakkarfjord	11	A	US	_v541quiet	Core destroyed	107	0	290	0
drakkarfjord_s11_B	drakkarfjord	11	B	US	_v541quiet	Core destroyed	162	0	910	0
drakkarfjord_s12_A	drakkarfjord	12	A	US	_v541quiet	Core destroyed	166	0	320	0
drakkarfjord_s12_B	drakkarfjord	12	B	US	_v541quiet	Core destroyed	111	0	260	230
glacierkeep_s10_A	glacierkeep	10	A	US	_v541quiet	Core destroyed	390	0	1170	0
glacierkeep_s10_B	glacierkeep	10	B	US	_v541quiet	Titanium collected (tiebreak)	1000	0	110	0
glacierkeep_s11_A	glacierkeep	11	A	US	_v541quiet	Core destroyed	115	0	230	0
glacierkeep_s11_B	glacierkeep	11	B	US	_v541quiet	Core destroyed	575	0	300	0
glacierkeep_s12_A	glacierkeep	12	A	OPP	_v488beltbreak2	Core destroyed	367	0	50	620
glacierkeep_s12_B	glacierkeep	12	B	OPP	_v488beltbreak2	Core destroyed	753	0	0	0
midgard_s10_A	midgard	10	A	US	_v541quiet	Titanium collected (tiebreak)	1000	0	1550	630
midgard_s10_B	midgard	10	B	US	_v541quiet	Titanium collected (tiebreak)	1000	0	7550	680
midgard_s11_A	midgard	11	A	OPP	_v488beltbreak2	Core destroyed	629	0	700	700
midgard_s11_B	midgard	11	B	US	_v541quiet	Core destroyed	253	0	1940	730
midgard_s12_A	midgard	12	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	770	930
midgard_s12_B	midgard	12	B	OPP	_v488beltbreak2	Core destroyed	265	0	1990	940
nordkap_s10_A	nordkap	10	A	US	_v541quiet	Core destroyed	151	0	360	70
nordkap_s10_B	nordkap	10	B	US	_v541quiet	Core destroyed	131	0	360	20
nordkap_s11_A	nordkap	11	A	US	_v541quiet	Core destroyed	148	0	680	70
nordkap_s11_B	nordkap	11	B	US	_v541quiet	Core destroyed	122	0	390	80
nordkap_s12_A	nordkap	12	A	OPP	_v488beltbreak2	Core destroyed	236	0	320	2890
nordkap_s12_B	nordkap	12	B	US	_v541quiet	Core destroyed	257	0	110	70
