tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s1_A	atoll	1	A	OPP	_x3r0v173mjolnir	Core destroyed	243	0	600	1510
atoll_s1_B	atoll	1	B	OPP	_x3r0v173mjolnir	Core destroyed	147	0	380	530
atoll_s2_A	atoll	2	A	OPP	_x3r0v173mjolnir	Core destroyed	361	0	900	270
atoll_s2_B	atoll	2	B	US	parent	Core destroyed	227	0	580	500
atoll_s3_A	atoll	3	A	OPP	_x3r0v173mjolnir	Core destroyed	159	0	390	870
atoll_s3_B	atoll	3	B	OPP	_x3r0v173mjolnir	Core destroyed	95	0	250	430
drakkarfjord_s1_A	drakkarfjord	1	A	US	parent	Core destroyed	109	0	440	0
drakkarfjord_s1_B	drakkarfjord	1	B	US	parent	Core destroyed	261	0	230	0
drakkarfjord_s2_A	drakkarfjord	2	A	US	parent	Core destroyed	238	0	1280	0
drakkarfjord_s2_B	drakkarfjord	2	B	US	parent	Core destroyed	323	0	2390	0
drakkarfjord_s3_A	drakkarfjord	3	A	US	parent	Core destroyed	238	0	1280	0
drakkarfjord_s3_B	drakkarfjord	3	B	US	parent	Core destroyed	171	0	1000	0
glacierkeep_s1_A	glacierkeep	1	A	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	0	4570
glacierkeep_s1_B	glacierkeep	1	B	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	8100	10320
glacierkeep_s2_A	glacierkeep	2	A	OPP	_x3r0v173mjolnir	Core destroyed	609	0	0	470
glacierkeep_s2_B	glacierkeep	2	B	OPP	_x3r0v173mjolnir	Core destroyed	527	0	0	960
glacierkeep_s3_A	glacierkeep	3	A	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	700	6880
glacierkeep_s3_B	glacierkeep	3	B	OPP	_x3r0v173mjolnir	Core destroyed	577	0	0	3110
midgard_s1_A	midgard	1	A	US	parent	Core destroyed	280	0	3160	1110
midgard_s1_B	midgard	1	B	OPP	_x3r0v173mjolnir	Core destroyed	318	0	3050	3470
midgard_s2_A	midgard	2	A	OPP	_x3r0v173mjolnir	Core destroyed	525	0	2850	2630
midgard_s2_B	midgard	2	B	US	parent	Core destroyed	202	0	2110	1110
midgard_s3_A	midgard	3	A	US	parent	Core destroyed	848	0	2550	1390
midgard_s3_B	midgard	3	B	US	parent	Core destroyed	256	0	2940	560
nordkap_s1_A	nordkap	1	A	US	parent	Core destroyed	301	0	230	20
nordkap_s1_B	nordkap	1	B	OPP	_x3r0v173mjolnir	Core destroyed	581	0	2760	4420
nordkap_s2_A	nordkap	2	A	US	parent	Core destroyed	264	0	680	20
nordkap_s2_B	nordkap	2	B	OPP	_x3r0v173mjolnir	Core destroyed	471	0	2490	4700
nordkap_s3_A	nordkap	3	A	US	parent	Core destroyed	241	0	2710	20
nordkap_s3_B	nordkap	3	B	US	parent	Core destroyed	318	0	950	760
