tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
midgard_s1_A	midgard	1	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s1_B	midgard	1	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s2_A	midgard	2	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s2_B	midgard	2	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s3_A	midgard	3	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s3_B	midgard	3	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s4_A	midgard	4	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s4_B	midgard	4	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s5_A	midgard	5	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s5_B	midgard	5	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s6_A	midgard	6	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s6_B	midgard	6	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s7_A	midgard	7	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s7_B	midgard	7	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s8_A	midgard	8	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s8_B	midgard	8	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s9_A	midgard	9	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s9_B	midgard	9	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s10_A	midgard	10	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s10_B	midgard	10	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s11_A	midgard	11	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s11_B	midgard	11	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s12_A	midgard	12	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s12_B	midgard	12	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s13_A	midgard	13	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s13_B	midgard	13	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s14_A	midgard	14	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s14_B	midgard	14	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s15_A	midgard	15	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s15_B	midgard	15	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s16_A	midgard	16	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s16_B	midgard	16	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s17_A	midgard	17	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s17_B	midgard	17	B	US	parent	Core destroyed	270	0	2050	1600
midgard_s18_A	midgard	18	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s18_B	midgard	18	B	US	parent	Core destroyed	270	0	2050	1600
