flag  v542wave  v538refine  v539resilience  v541quiet
LOKI_FS_V538               True       True       —          —         
FS_V538_CLAIM_GATE         True       True       —          —         
FS_V538_LOG                False      False      —          —         
LOKI_FS_V539               True       —          True       —         
FS_V539_REEST              True       —          True       —         
FS_V539_MIN_RND            60         —          60         —         
FS_V539_DROUGHT            25         —          25         —         
FS_V539_LIFELINE_RNDS      40         —          40         —         
FS_V539_MAX_RNDS           120        —          120        —         
FS_V539_MAX_EPISODES       3          —          3          —         
FS_V539_DRAFT              True       —          True       —         
FS_V539_SEAT3_HOLD         True       —          True       —         
FS_V539_LIFELINE           True       —          True       —         
FS_V539_RESERVE_FLOOR      False      —          False      —         
FS_V539_HONEST_SLOT        False      —          False      —         
FS_V539_LOG                False      —          False      —         
FS_V541_COREPECK           True       —          —          True      
FS_V541_COREFIRST          True       —          —          True      
FS_V541_IDLEPECK           False      —          —          False     
FS_V541_FINISH_ON          True       —          —          True      
FS_V541_FINISH_HP          120        —          —          120       
FS_V541_LOG                False      —          —          False     
FS_V541_TI_FLOOR           8          —          —          8         
FS_V541_KEEP_SENT          True       —          —          True      
FS_V541_AMMO_AWARE         True       —          —          True      
FS_V541_AMMO_MIN           120        —          —          120       
FS_V541_MAX_PECKS          60         —          —          60        
FS_V541_RAID_ON            True       —          —          True      
FS_V541_NEED_SENTINEL      False      —          —          False     
NOISE_ON                   True       True       True       True      
LOKI_QUIET_ON              True       True       True       True      
FS_V537_SOCKET             True       True       True       True      
