tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
midgard_s10_A	midgard	10	A	OPP	opp_bb2	Core destroyed	629	0	550	620
midgard_s10_B	midgard	10	B	US	v542_541off	Core destroyed	152	0	1230	550
midgard_s11_A	midgard	11	A	OPP	opp_bb2	Core destroyed	629	0	550	620
midgard_s11_B	midgard	11	B	US	v542_541off	Core destroyed	152	0	1230	550
midgard_s12_A	midgard	12	A	OPP	opp_bb2	Core destroyed	629	0	550	620
midgard_s12_B	midgard	12	B	US	v542_541off	Core destroyed	152	0	1230	550
glacierkeep_s10_A	glacierkeep	10	A	US	v542_541off	Core destroyed	121	0	200	0
glacierkeep_s10_B	glacierkeep	10	B	OPP	opp_bb2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s11_A	glacierkeep	11	A	US	v542_541off	Core destroyed	121	0	200	0
glacierkeep_s11_B	glacierkeep	11	B	OPP	opp_bb2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s12_A	glacierkeep	12	A	US	v542_541off	Core destroyed	121	0	200	0
glacierkeep_s12_B	glacierkeep	12	B	OPP	opp_bb2	Harvesters (tiebreak)	1000	0	0	0
icefloe_s10_A	icefloe	10	A	US	v542_541off	Core destroyed	164	0	490	0
icefloe_s10_B	icefloe	10	B	US	v542_541off	Core destroyed	163	0	1430	0
icefloe_s11_A	icefloe	11	A	US	v542_541off	Core destroyed	164	0	490	0
icefloe_s11_B	icefloe	11	B	US	v542_541off	Core destroyed	163	0	1430	0
icefloe_s12_A	icefloe	12	A	US	v542_541off	Core destroyed	164	0	490	0
icefloe_s12_B	icefloe	12	B	US	v542_541off	Core destroyed	163	0	1430	0
valkyrie_s10_A	valkyrie	10	A	US	v542_541off	Core destroyed	485	0	4340	1090
valkyrie_s10_B	valkyrie	10	B	OPP	opp_bb2	Core destroyed	373	0	390	2210
valkyrie_s11_A	valkyrie	11	A	US	v542_541off	Core destroyed	485	0	4340	1090
valkyrie_s11_B	valkyrie	11	B	OPP	opp_bb2	Core destroyed	373	0	390	2210
valkyrie_s12_A	valkyrie	12	A	US	v542_541off	Core destroyed	485	0	4340	1090
valkyrie_s12_B	valkyrie	12	B	OPP	opp_bb2	Core destroyed	373	0	390	2210
auroraveil_s10_A	auroraveil	10	A	US	v542_541off	Core destroyed	658	0	1600	0
auroraveil_s10_B	auroraveil	10	B	US	v542_541off	Core destroyed	320	0	850	0
auroraveil_s11_A	auroraveil	11	A	US	v542_541off	Core destroyed	658	0	1600	0
auroraveil_s11_B	auroraveil	11	B	US	v542_541off	Core destroyed	320	0	850	0
auroraveil_s12_A	auroraveil	12	A	US	v542_541off	Core destroyed	658	0	1600	0
auroraveil_s12_B	auroraveil	12	B	US	v542_541off	Core destroyed	320	0	850	0
