arm	tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
parent	auroraveil_s21_A	auroraveil	21	A	US	parent	Core destroyed	175	0	580	0
parent	auroraveil_s21_B	auroraveil	21	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
parent	auroraveil_s22_A	auroraveil	22	A	US	parent	Core destroyed	175	0	580	0
parent	auroraveil_s22_B	auroraveil	22	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
parent	bifrost_s21_A	bifrost	21	A	OPP	opp_mjol	Core destroyed	372	0	930	990
parent	bifrost_s21_B	bifrost	21	B	US	parent	Titanium collected (tiebreak)	1000	0	3860	940
parent	bifrost_s22_A	bifrost	22	A	OPP	opp_mjol	Core destroyed	372	0	930	990
parent	bifrost_s22_B	bifrost	22	B	US	parent	Titanium collected (tiebreak)	1000	0	3860	940
parent	fimbulwinter_s21_A	fimbulwinter	21	A	OPP	opp_mjol	Core destroyed	277	0	670	150
parent	fimbulwinter_s21_B	fimbulwinter	21	B	US	parent	Core destroyed	287	0	1270	0
parent	fimbulwinter_s22_A	fimbulwinter	22	A	OPP	opp_mjol	Core destroyed	277	0	670	150
parent	fimbulwinter_s22_B	fimbulwinter	22	B	US	parent	Core destroyed	287	0	1270	0
parent	glacierkeep_s21_A	glacierkeep	21	A	US	parent	Core destroyed	569	0	0	690
parent	glacierkeep_s21_B	glacierkeep	21	B	US	parent	Core destroyed	420	0	570	350
parent	glacierkeep_s22_A	glacierkeep	22	A	US	parent	Core destroyed	569	0	0	690
parent	glacierkeep_s22_B	glacierkeep	22	B	US	parent	Core destroyed	420	0	570	350
parent	helheim_s21_A	helheim	21	A	US	parent	Core destroyed	289	0	810	70
parent	helheim_s21_B	helheim	21	B	OPP	opp_mjol	Core destroyed	275	0	220	900
parent	helheim_s22_A	helheim	22	A	US	parent	Core destroyed	289	0	810	70
parent	helheim_s22_B	helheim	22	B	OPP	opp_mjol	Core destroyed	275	0	220	900
parent	holmgang_s21_A	holmgang	21	A	US	parent	Core destroyed	102	0	560	0
parent	holmgang_s21_B	holmgang	21	B	US	parent	Core destroyed	302	0	1460	330
parent	holmgang_s22_A	holmgang	22	A	US	parent	Core destroyed	102	0	550	0
parent	holmgang_s22_B	holmgang	22	B	US	parent	Core destroyed	302	0	1460	330
parent	icefloe_s21_A	icefloe	21	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
parent	icefloe_s21_B	icefloe	21	B	US	parent	Core destroyed	449	0	1420	0
parent	icefloe_s22_A	icefloe	22	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
parent	icefloe_s22_B	icefloe	22	B	US	parent	Core destroyed	449	0	1420	0
parent	jotunheim_s21_A	jotunheim	21	A	OPP	opp_mjol	Core destroyed	814	0	620	570
parent	jotunheim_s21_B	jotunheim	21	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
parent	jotunheim_s22_A	jotunheim	22	A	OPP	opp_mjol	Core destroyed	814	0	620	570
parent	jotunheim_s22_B	jotunheim	22	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
parent	longhouse_s21_A	longhouse	21	A	US	parent	Core destroyed	217	0	1010	280
parent	longhouse_s21_B	longhouse	21	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
parent	longhouse_s22_A	longhouse	22	A	US	parent	Core destroyed	217	0	1010	280
parent	longhouse_s22_B	longhouse	22	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
parent	midgard_s21_A	midgard	21	A	US	parent	Core destroyed	156	0	1360	720
parent	midgard_s21_B	midgard	21	B	OPP	opp_mjol	Core destroyed	375	0	4260	2960
parent	midgard_s22_A	midgard	22	A	US	parent	Core destroyed	156	0	1360	720
parent	midgard_s22_B	midgard	22	B	OPP	opp_mjol	Core destroyed	375	0	4260	2960
parent	paths_s21_A	paths	21	A	OPP	opp_mjol	Core destroyed	163	0	760	740
parent	paths_s21_B	paths	21	B	OPP	opp_mjol	Core destroyed	266	0	160	1180
parent	paths_s22_A	paths	22	A	OPP	opp_mjol	Core destroyed	163	0	760	740
parent	paths_s22_B	paths	22	B	OPP	opp_mjol	Core destroyed	266	0	160	1180
parent	skald_s21_A	skald	21	A	US	parent	Core destroyed	346	0	940	860
parent	skald_s21_B	skald	21	B	OPP	opp_mjol	Core destroyed	374	0	1800	1330
parent	skald_s22_A	skald	22	A	US	parent	Core destroyed	346	0	940	860
parent	skald_s22_B	skald	22	B	OPP	opp_mjol	Core destroyed	378	0	1820	1340
parent	stavkirke_s21_A	stavkirke	21	A	US	parent	Core destroyed	231	0	390	130
parent	stavkirke_s21_B	stavkirke	21	B	US	parent	Core destroyed	405	0	970	0
parent	stavkirke_s22_A	stavkirke	22	A	US	parent	Core destroyed	231	0	390	130
parent	stavkirke_s22_B	stavkirke	22	B	US	parent	Core destroyed	405	0	970	0
parent	valkyrie_s21_A	valkyrie	21	A	US	parent	Core destroyed	311	0	2420	650
parent	valkyrie_s21_B	valkyrie	21	B	US	parent	Core destroyed	246	0	1620	930
parent	valkyrie_s22_A	valkyrie	22	A	US	parent	Core destroyed	311	0	2420	650
parent	valkyrie_s22_B	valkyrie	22	B	US	parent	Core destroyed	246	0	1620	930
parent	yggdrasil_s21_A	yggdrasil	21	A	OPP	opp_mjol	Core destroyed	201	0	470	1010
parent	yggdrasil_s21_B	yggdrasil	21	B	US	parent	Titanium collected (tiebreak)	1000	0	2460	2030
parent	yggdrasil_s22_A	yggdrasil	22	A	OPP	opp_mjol	Core destroyed	201	0	470	1010
parent	yggdrasil_s22_B	yggdrasil	22	B	US	parent	Titanium collected (tiebreak)	1000	0	2460	2030
parent	auroraveil_s23_A	auroraveil	23	A	US	parent	Core destroyed	175	0	580	0
parent	auroraveil_s23_B	auroraveil	23	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
parent	auroraveil_s24_A	auroraveil	24	A	US	parent	Core destroyed	175	0	580	0
parent	auroraveil_s24_B	auroraveil	24	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
parent	bifrost_s23_A	bifrost	23	A	OPP	opp_mjol	Core destroyed	372	0	930	990
parent	bifrost_s23_B	bifrost	23	B	US	parent	Titanium collected (tiebreak)	1000	0	3860	940
parent	bifrost_s24_A	bifrost	24	A	OPP	opp_mjol	Core destroyed	372	0	930	990
parent	bifrost_s24_B	bifrost	24	B	US	parent	Titanium collected (tiebreak)	1000	0	3860	940
parent	fimbulwinter_s23_A	fimbulwinter	23	A	OPP	opp_mjol	Core destroyed	277	0	670	150
parent	fimbulwinter_s23_B	fimbulwinter	23	B	US	parent	Core destroyed	287	0	1270	0
parent	fimbulwinter_s24_A	fimbulwinter	24	A	OPP	opp_mjol	Core destroyed	277	0	670	150
parent	fimbulwinter_s24_B	fimbulwinter	24	B	US	parent	Core destroyed	287	0	1270	0
parent	glacierkeep_s23_A	glacierkeep	23	A	US	parent	Core destroyed	569	0	0	690
parent	glacierkeep_s23_B	glacierkeep	23	B	US	parent	Core destroyed	420	0	570	350
parent	glacierkeep_s24_A	glacierkeep	24	A	US	parent	Core destroyed	569	0	0	690
parent	glacierkeep_s24_B	glacierkeep	24	B	US	parent	Core destroyed	420	0	570	350
parent	helheim_s23_A	helheim	23	A	US	parent	Core destroyed	289	0	810	70
parent	helheim_s23_B	helheim	23	B	OPP	opp_mjol	Core destroyed	275	0	220	900
parent	helheim_s24_A	helheim	24	A	US	parent	Core destroyed	289	0	810	70
parent	helheim_s24_B	helheim	24	B	OPP	opp_mjol	Core destroyed	275	0	220	900
parent	holmgang_s23_A	holmgang	23	A	US	parent	Core destroyed	102	0	560	0
parent	holmgang_s23_B	holmgang	23	B	US	parent	Core destroyed	302	0	1460	330
parent	holmgang_s24_A	holmgang	24	A	US	parent	Core destroyed	102	0	560	0
parent	holmgang_s24_B	holmgang	24	B	US	parent	Core destroyed	302	0	1460	330
parent	icefloe_s23_A	icefloe	23	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
parent	icefloe_s23_B	icefloe	23	B	US	parent	Core destroyed	449	0	1420	0
parent	icefloe_s24_A	icefloe	24	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
parent	icefloe_s24_B	icefloe	24	B	US	parent	Core destroyed	449	0	1420	0
parent	jotunheim_s23_A	jotunheim	23	A	OPP	opp_mjol	Core destroyed	814	0	620	570
parent	jotunheim_s23_B	jotunheim	23	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
parent	jotunheim_s24_A	jotunheim	24	A	OPP	opp_mjol	Core destroyed	814	0	620	570
parent	jotunheim_s24_B	jotunheim	24	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
parent	longhouse_s23_A	longhouse	23	A	US	parent	Core destroyed	217	0	1010	280
parent	longhouse_s23_B	longhouse	23	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
parent	longhouse_s24_A	longhouse	24	A	US	parent	Core destroyed	217	0	1010	280
parent	longhouse_s24_B	longhouse	24	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
parent	midgard_s23_A	midgard	23	A	US	parent	Core destroyed	156	0	1360	720
parent	midgard_s23_B	midgard	23	B	OPP	opp_mjol	Core destroyed	375	0	4260	2960
