arm	opp	map	seed	seat	md5	turns	cond	winner	tb
V543DOSE	CTRLWAVE	auroraveil	1	A	cd17d332dbbca004a4c68932578df576	665	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	1	B	5860e400c861b48e5fb679d4a6c26209	355	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	2	A	9d93d8690ecd68da22834311daca21ea	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	2	B	67c471f1d748c57e3c8f3b1c4c9eead9	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	3	A	fb0fee713543dc32666502055f2fc8fc	905	core_destroyed	B	0
V543DOSE	CTRLWAVE	auroraveil	3	B	5155e99ea84903836b238e9d924a7110	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	4	A	47ba4fb7451cba5b1782c5d0b376c3a2	537	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	4	B	a4ad14bf31bf66a417f9acbb07f95d3f	713	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	5	A	61dcf403bce56350a6af4ff7e97e85b3	181	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	5	B	62b2590136217cf705db9d3a8ebc54cf	434	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	6	A	9e0edb4b71dac17bdc38869217ab7cf8	195	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	6	B	9be15f6a712bcfc478e49ea648587e84	485	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	7	A	559a076fd7045cf1294af8d3e0ee4aac	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	7	B	1ca3838cc31b3b4b629284201d5c4c84	234	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	8	A	044c7da1bdac3895df8d18f995b9788c	573	core_destroyed	B	0
V543DOSE	CTRLWAVE	auroraveil	8	B	aba14b0770d5b937a14fd713c6204ca9	367	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	9	A	cceb152b3e43f1d4ffd547fb78bf0701	865	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	9	B	240bdd352906e72edf5df2091c66fa6a	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	10	A	970f64e32024da7db6296d8aa0aa7c91	865	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	10	B	e8efb8e1d71fd94a73edfd28b839c70c	290	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	11	A	b4df63a5809d30f3e0768ae83699f57f	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	11	B	4a43f554df6b662aff777a2db0f508f6	514	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	12	A	e9d637da54e82e1f124d5bcb57103913	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	auroraveil	12	B	8074f1c7272fb76ee2f42b56458eaa0c	945	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	13	A	1116cc0d414ec7292ea911f251dc19f2	665	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	13	B	24e17e0f0e581ce66ba9f01f54759018	873	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	14	A	68e2da7ab942fe9af805796bb17fbc68	212	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	14	B	1354a9c62016cc789378564405d83169	290	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	15	A	ac476a1b207d373e24ad8d8ef2b0aa4b	773	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	15	B	5307214924eebff455fd6d8ce329d07e	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	16	A	f40e0344e35f731d16f6033eb10d8159	537	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	16	B	df60e217f80ce24aa02de6974d2c26c2	234	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	17	A	521d7ddf1aaf86ccc59dd75e6ec82b2e	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	17	B	b9d3dade2b981ebcad7a1c0bd9f0b139	275	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	18	A	4980dbb71eebb05b85ddddeffe92691d	209	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	18	B	b71497ac597df8d231e2013765e91611	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	19	A	4164cb3c21532d734625c4c722bea9dc	197	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	19	B	a2dad06d68e77377c54e53d8eedf8c5e	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	auroraveil	20	A	71b7d7aea47583a03d276dabad745105	346	core_destroyed	A	0
V543DOSE	CTRLWAVE	auroraveil	20	B	2bc8eeacbbd28ec3864ac8297b7b5bb9	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	bifrost	1	A	0570754ed775f47385a4c9854f09fa89	248	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	1	B	f132ce1ac46320866207089fe4ea897c	205	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	2	A	dd82ba84a9b0ec078fad7c72a43b7308	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	bifrost	2	B	98816e41f326134f12fd96c498dc325c	222	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	3	A	d142bbfd751b9bd441555462a528122a	722	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	3	B	63811ef3a8bbd3cbc5300f02a2c6a015	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	bifrost	4	A	b8dbc3e14bfe7e72598675bb3365d6c6	173	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	4	B	1e7722f31f1ba55a5086e8f071a9477e	292	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	5	A	cf5aa5d32dc481d77e4dd2ab7742feb3	196	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	5	B	7e37be2ad37054f66ea50cb67beeb919	352	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	6	A	0c3dc01cc8816668cf5be62a92a71155	553	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	6	B	70df7c0efc917c6ccda5a173abb413ca	213	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	7	A	a799a1b16f9bf3807dd08711f58fd79b	432	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	7	B	fd7b310ea58c4a73ca916ba5cb0785c7	276	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	8	A	fa447b5e1c66ad54723bd7f23987caf0	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	bifrost	8	B	5c670aeab7875ef82c555c1b57971c9b	415	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	9	A	b6f2dd3f49e2de7cae997a39dae08242	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	bifrost	9	B	3b3472159c8b9c643e86e8b1f9bc54f7	338	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	10	A	ae7d9709fb92958c02080f395549772a	172	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	10	B	da58a7c6ac68bb1bedcaf55b940bc53e	329	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	11	A	1846b3e3cf07f39a310d042179c23429	160	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	11	B	eeb30d37487c70c2e49280bac0bd8200	290	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	12	A	0109cb4864278d726106be8829b52af9	237	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	12	B	c2ec1954328247e754f80d2b741733fe	598	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	13	A	486a860cef701ec7f999c41d54c0f19b	196	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	13	B	7c766df939cacd4ab35609c37551f55e	255	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	14	A	205646663bd5faeb00a07d25ded05d47	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	bifrost	14	B	4448db34300bd8429e77451ff772f828	267	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	15	A	cd855878f887e91269e45841ebd79c50	223	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	15	B	cad3586cbf1902ef42315d2b4a391658	415	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	16	A	5124761eae247e04af45c63d3d04fee3	381	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	16	B	5826a72fc643f3f801bd405e734e35fc	697	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	17	A	d76b0f359e3b2ae712f788456f6be5eb	403	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	17	B	3c4fc80a63daaffdffbf128b05881c33	614	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	18	A	48d6ee028fd4fe05fac28eb1d3c474b6	179	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	18	B	33c44dc4b8a7f2d999bca728c5ce7a1c	329	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	19	A	6f97e53449ae21170fe9eb595927c37a	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	bifrost	19	B	f93353aed9fe7490ff4b45ac7a9a0aa1	208	core_destroyed	A	0
V543DOSE	CTRLWAVE	bifrost	20	A	147aefdd9f18e342bc857433607bffdb	245	core_destroyed	B	0
V543DOSE	CTRLWAVE	bifrost	20	B	7f368512f95d5399f7bc067691194817	655	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	1	A	1a1b13f163452549291bd128d3f63e71	285	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	1	B	64a8e2ce26e8d30555315cb31b245c20	272	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	2	A	33ecb6a739c2274c3efc8d7ee4fac1ca	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	2	B	d9c3c88fc1d185fa2dcc7affc5219d3b	576	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	3	A	ed00d0923bce3f9e19a2dda430fc93db	766	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	3	B	7694f50320a780b4aa493eeb958f070f	693	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	4	A	3163961eea1618d2e8865acba7d06888	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	4	B	39f89528bc9a63d05d6068aa40e17450	219	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	5	A	a913d64507363a5c8ea05f251afcd1bb	227	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	5	B	8aa53c0be171eedc3f5a1fbf8c4df2cb	346	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	6	A	9687495139420141e959bc87b44d9cae	198	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	6	B	98f78bfc7715fcb5eb8c8581da2655be	209	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	7	A	eb373b5bf66bafb745fe3b79cc8a215d	609	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	7	B	e5bee33c48f315b3ec1741ea3d41f739	651	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	8	A	bec0dc5ec9096ab350331ee4652f57da	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	8	B	931032e23c0f07f4970abd02d7270a8e	264	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	9	A	30dab8c0100c869d27198c9049ec60ea	529	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	9	B	2214f0a9f1af25aa0e99ce3150ed3397	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	10	A	8552029560a15d89dc152c4aad8aded8	129	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	10	B	bbc6e3b9d428746650336b8bd72d5026	200	core_destroyed	B	0
