tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s900024_A	auroraveil	900024	A	US	_v600skalman1	Core destroyed	613	0	190	1470
auroraveil_s900024_B	auroraveil	900024	B	OPP	_v542wave	Core destroyed	209	0	100	480
auroraveil_s900025_A	auroraveil	900025	A	OPP	_v542wave	Core destroyed	265	0	620	460
auroraveil_s900025_B	auroraveil	900025	B	OPP	_v542wave	Core destroyed	235	0	910	540
auroraveil_s900026_A	auroraveil	900026	A	US	_v600skalman1	Core destroyed	613	0	190	1470
auroraveil_s900026_B	auroraveil	900026	B	OPP	_v542wave	Core destroyed	153	0	180	660
bifrost_s900024_A	bifrost	900024	A	OPP	_v542wave	Core destroyed	116	0	0	500
bifrost_s900024_B	bifrost	900024	B	OPP	_v542wave	Core destroyed	107	0	0	480
bifrost_s900025_A	bifrost	900025	A	OPP	_v542wave	Core destroyed	116	0	0	500
bifrost_s900025_B	bifrost	900025	B	OPP	_v542wave	Core destroyed	107	0	0	480
bifrost_s900026_A	bifrost	900026	A	OPP	_v542wave	Core destroyed	140	0	0	640
bifrost_s900026_B	bifrost	900026	B	OPP	_v542wave	Core destroyed	205	0	0	930
fimbulwinter_s900024_A	fimbulwinter	900024	A	OPP	_v542wave	Core destroyed	245	0	0	580
fimbulwinter_s900024_B	fimbulwinter	900024	B	OPP	_v542wave	Core destroyed	173	0	0	1060
fimbulwinter_s900025_A	fimbulwinter	900025	A	OPP	_v542wave	Core destroyed	292	0	0	990
fimbulwinter_s900025_B	fimbulwinter	900025	B	OPP	_v542wave	Core destroyed	217	0	0	1030
fimbulwinter_s900026_A	fimbulwinter	900026	A	OPP	_v542wave	Core destroyed	124	0	0	630
fimbulwinter_s900026_B	fimbulwinter	900026	B	OPP	_v542wave	Core destroyed	176	0	0	1080
glacierkeep_s900024_A	glacierkeep	900024	A	OPP	_v542wave	Core destroyed	593	0	170	970
glacierkeep_s900024_B	glacierkeep	900024	B	OPP	_v542wave	Core destroyed	245	0	1010	0
glacierkeep_s900025_A	glacierkeep	900025	A	OPP	_v542wave	Core destroyed	656	0	0	1130
glacierkeep_s900025_B	glacierkeep	900025	B	OPP	_v542wave	Core destroyed	395	0	1350	240
glacierkeep_s900026_A	glacierkeep	900026	A	OPP	_v542wave	Core destroyed	608	0	0	1080
glacierkeep_s900026_B	glacierkeep	900026	B	OPP	_v542wave	Core destroyed	249	0	1030	0
helheim_s900024_A	helheim	900024	A	OPP	_v542wave	Core destroyed	193	0	0	890
helheim_s900024_B	helheim	900024	B	OPP	_v542wave	Core destroyed	276	0	0	2040
helheim_s900025_A	helheim	900025	A	OPP	_v542wave	Core destroyed	238	0	0	1120
helheim_s900025_B	helheim	900025	B	OPP	_v542wave	Core destroyed	106	0	0	490
helheim_s900026_A	helheim	900026	A	OPP	_v542wave	Core destroyed	120	0	0	440
helheim_s900026_B	helheim	900026	B	OPP	_v542wave	Core destroyed	178	0	0	840
holmgang_s900024_A	holmgang	900024	A	OPP	_v542wave	Core destroyed	364	0	0	2300
holmgang_s900024_B	holmgang	900024	B	OPP	_v542wave	Core destroyed	149	0	0	350
holmgang_s900025_A	holmgang	900025	A	OPP	_v542wave	Core destroyed	246	0	0	1750
holmgang_s900025_B	holmgang	900025	B	OPP	_v542wave	Core destroyed	159	0	0	390
holmgang_s900026_A	holmgang	900026	A	OPP	_v542wave	Core destroyed	425	0	0	2070
holmgang_s900026_B	holmgang	900026	B	OPP	_v542wave	Core destroyed	106	0	0	480
icefloe_s900024_A	icefloe	900024	A	OPP	_v542wave	Core destroyed	348	0	70	2210
icefloe_s900024_B	icefloe	900024	B	OPP	_v542wave	Core destroyed	90	0	0	300
icefloe_s900025_A	icefloe	900025	A	OPP	_v542wave	Core destroyed	347	0	70	2200
icefloe_s900025_B	icefloe	900025	B	OPP	_v542wave	Core destroyed	90	0	0	300
icefloe_s900026_A	icefloe	900026	A	OPP	_v542wave	Core destroyed	348	0	70	2210
icefloe_s900026_B	icefloe	900026	B	OPP	_v542wave	Core destroyed	90	0	0	300
jotunheim_s900024_A	jotunheim	900024	A	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	1400
jotunheim_s900024_B	jotunheim	900024	B	OPP	_v542wave	Core destroyed	324	0	0	0
jotunheim_s900025_A	jotunheim	900025	A	US	_v600skalman1	Titanium stored (tiebreak)	1000	0	0	0
jotunheim_s900025_B	jotunheim	900025	B	OPP	_v542wave	Core destroyed	341	0	0	0
jotunheim_s900026_A	jotunheim	900026	A	OPP	_v542wave	Core destroyed	513	0	0	0
jotunheim_s900026_B	jotunheim	900026	B	OPP	_v542wave	Core destroyed	324	0	0	0
longhouse_s900024_A	longhouse	900024	A	OPP	_v542wave	Core destroyed	135	0	0	990
longhouse_s900024_B	longhouse	900024	B	OPP	_v542wave	Core destroyed	119	0	0	820
longhouse_s900025_A	longhouse	900025	A	OPP	_v542wave	Core destroyed	130	0	0	990
longhouse_s900025_B	longhouse	900025	B	OPP	_v542wave	Core destroyed	238	0	0	780
longhouse_s900026_A	longhouse	900026	A	OPP	_v542wave	Core destroyed	132	0	0	990
longhouse_s900026_B	longhouse	900026	B	OPP	_v542wave	Core destroyed	238	0	0	780
midgard_s900024_A	midgard	900024	A	OPP	_v542wave	Core destroyed	96	0	340	940
midgard_s900024_B	midgard	900024	B	OPP	_v542wave	Core destroyed	94	0	360	840
midgard_s900025_A	midgard	900025	A	OPP	_v542wave	Core destroyed	96	0	340	920
midgard_s900025_B	midgard	900025	B	OPP	_v542wave	Core destroyed	95	0	340	910
midgard_s900026_A	midgard	900026	A	OPP	_v542wave	Core destroyed	78	0	320	670
midgard_s900026_B	midgard	900026	B	OPP	_v542wave	Core destroyed	95	0	340	870
paths_s900024_A	paths	900024	A	OPP	_v542wave	Core destroyed	108	0	0	480
paths_s900024_B	paths	900024	B	OPP	_v542wave	Core destroyed	158	0	0	770
paths_s900025_A	paths	900025	A	OPP	_v542wave	Core destroyed	113	0	0	480
paths_s900025_B	paths	900025	B	OPP	_v542wave	Core destroyed	117	0	0	490
paths_s900026_A	paths	900026	A	OPP	_v542wave	Core destroyed	97	0	0	530
