tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s900015_A	auroraveil	900015	A	OPP	_v542wave	Core destroyed	461	0	1110	3340
auroraveil_s900015_B	auroraveil	900015	B	OPP	_v542wave	Core destroyed	217	0	80	670
auroraveil_s900016_A	auroraveil	900016	A	OPP	_v542wave	Core destroyed	353	0	840	790
auroraveil_s900016_B	auroraveil	900016	B	OPP	_v542wave	Core destroyed	334	0	180	790
auroraveil_s900017_A	auroraveil	900017	A	US	_v614skalman	Core destroyed	178	0	770	150
auroraveil_s900017_B	auroraveil	900017	B	OPP	_v542wave	Core destroyed	208	0	0	470
bifrost_s900015_A	bifrost	900015	A	OPP	_v542wave	Core destroyed	158	0	370	600
bifrost_s900015_B	bifrost	900015	B	US	_v614skalman	Core destroyed	237	0	360	470
bifrost_s900016_A	bifrost	900016	A	OPP	_v542wave	Core destroyed	203	0	480	940
bifrost_s900016_B	bifrost	900016	B	US	_v614skalman	Core destroyed	237	0	360	470
bifrost_s900017_A	bifrost	900017	A	OPP	_v542wave	Core destroyed	150	0	350	690
bifrost_s900017_B	bifrost	900017	B	OPP	_v542wave	Core destroyed	148	0	80	640
fimbulwinter_s900015_A	fimbulwinter	900015	A	US	_v614skalman	Core destroyed	154	0	680	670
fimbulwinter_s900015_B	fimbulwinter	900015	B	US	_v614skalman	Core destroyed	151	0	700	250
fimbulwinter_s900016_A	fimbulwinter	900016	A	US	_v614skalman	Core destroyed	161	0	720	370
fimbulwinter_s900016_B	fimbulwinter	900016	B	US	_v614skalman	Core destroyed	161	0	740	250
fimbulwinter_s900017_A	fimbulwinter	900017	A	US	_v614skalman	Core destroyed	484	0	2340	500
fimbulwinter_s900017_B	fimbulwinter	900017	B	US	_v614skalman	Core destroyed	151	0	700	380
glacierkeep_s900015_A	glacierkeep	900015	A	US	_v614skalman	Core destroyed	201	0	500	0
glacierkeep_s900015_B	glacierkeep	900015	B	OPP	_v542wave	Core destroyed	223	0	0	880
glacierkeep_s900016_A	glacierkeep	900016	A	US	_v614skalman	Core destroyed	201	0	500	0
glacierkeep_s900016_B	glacierkeep	900016	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s900017_A	glacierkeep	900017	A	US	_v614skalman	Core destroyed	201	0	500	0
glacierkeep_s900017_B	glacierkeep	900017	B	OPP	_v542wave	Core destroyed	176	0	0	580
helheim_s900015_A	helheim	900015	A	OPP	_v542wave	Core destroyed	127	0	300	580
helheim_s900015_B	helheim	900015	B	OPP	_v542wave	Core destroyed	166	0	240	610
helheim_s900016_A	helheim	900016	A	OPP	_v542wave	Core destroyed	301	0	60	60
helheim_s900016_B	helheim	900016	B	US	_v614skalman	Titanium collected (tiebreak)	1000	0	4610	1820
helheim_s900017_A	helheim	900017	A	OPP	_v542wave	Core destroyed	213	0	850	520
helheim_s900017_B	helheim	900017	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	2920	7240
holmgang_s900015_A	holmgang	900015	A	OPP	_v542wave	Core destroyed	130	0	0	600
holmgang_s900015_B	holmgang	900015	B	OPP	_v542wave	Core destroyed	213	0	170	240
holmgang_s900016_A	holmgang	900016	A	OPP	_v542wave	Core destroyed	116	0	0	520
holmgang_s900016_B	holmgang	900016	B	US	_v614skalman	Core destroyed	113	0	490	260
holmgang_s900017_A	holmgang	900017	A	OPP	_v542wave	Core destroyed	130	0	0	600
holmgang_s900017_B	holmgang	900017	B	OPP	_v542wave	Core destroyed	292	0	770	850
icefloe_s900015_A	icefloe	900015	A	US	_v614skalman	Core destroyed	137	0	460	220
icefloe_s900015_B	icefloe	900015	B	OPP	_v542wave	Core destroyed	184	0	0	1080
icefloe_s900016_A	icefloe	900016	A	US	_v614skalman	Core destroyed	137	0	460	220
icefloe_s900016_B	icefloe	900016	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	11810
icefloe_s900017_A	icefloe	900017	A	US	_v614skalman	Core destroyed	137	0	460	220
icefloe_s900017_B	icefloe	900017	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	11810
jotunheim_s900015_A	jotunheim	900015	A	OPP	_v542wave	Core destroyed	602	0	110	450
jotunheim_s900015_B	jotunheim	900015	B	US	_v614skalman	Core destroyed	251	0	530	0
jotunheim_s900016_A	jotunheim	900016	A	US	_v614skalman	Core destroyed	293	0	1190	0
jotunheim_s900016_B	jotunheim	900016	B	OPP	_v542wave	Core destroyed	269	0	0	0
jotunheim_s900017_A	jotunheim	900017	A	US	_v614skalman	Core destroyed	214	0	650	0
jotunheim_s900017_B	jotunheim	900017	B	OPP	_v542wave	Core destroyed	249	0	520	860
longhouse_s900015_A	longhouse	900015	A	OPP	_v542wave	Core destroyed	152	0	120	820
longhouse_s900015_B	longhouse	900015	B	OPP	_v542wave	Core destroyed	216	0	60	950
longhouse_s900016_A	longhouse	900016	A	OPP	_v542wave	Core destroyed	298	0	40	360
longhouse_s900016_B	longhouse	900016	B	OPP	_v542wave	Core destroyed	127	0	120	640
longhouse_s900017_A	longhouse	900017	A	OPP	_v542wave	Core destroyed	134	0	60	840
longhouse_s900017_B	longhouse	900017	B	OPP	_v542wave	Core destroyed	116	0	60	590
midgard_s900015_A	midgard	900015	A	OPP	_v542wave	Core destroyed	96	0	300	930
midgard_s900015_B	midgard	900015	B	OPP	_v542wave	Core destroyed	107	0	430	920
midgard_s900016_A	midgard	900016	A	OPP	_v542wave	Core destroyed	96	0	300	930
midgard_s900016_B	midgard	900016	B	OPP	_v542wave	Core destroyed	96	0	410	770
midgard_s900017_A	midgard	900017	A	OPP	_v542wave	Core destroyed	96	0	320	720
midgard_s900017_B	midgard	900017	B	OPP	_v542wave	Core destroyed	107	0	430	920
paths_s900015_A	paths	900015	A	OPP	_v542wave	Core destroyed	147	0	350	430
paths_s900015_B	paths	900015	B	OPP	_v542wave	Core destroyed	144	0	340	660
paths_s900016_A	paths	900016	A	OPP	_v542wave	Core destroyed	204	0	180	590
paths_s900016_B	paths	900016	B	OPP	_v542wave	Core destroyed	161	0	380	650
paths_s900017_A	paths	900017	A	OPP	_v542wave	Core destroyed	197	0	470	900
paths_s900017_B	paths	900017	B	US	_v614skalman	Core destroyed	177	0	420	580
skald_s900015_A	skald	900015	A	OPP	_v542wave	Core destroyed	168	0	790	1430
skald_s900015_B	skald	900015	B	US	_v614skalman	Core destroyed	149	0	490	390
skald_s900016_A	skald	900016	A	OPP	_v542wave	Core destroyed	125	0	340	740
skald_s900016_B	skald	900016	B	US	_v614skalman	Core destroyed	209	0	580	550
