tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s900000_A	auroraveil	900000	A	US	_v614skalman	Core destroyed	95	0	190	0
auroraveil_s900000_B	auroraveil	900000	B	OPP	_v542wave	Core destroyed	311	0	310	830
auroraveil_s900001_A	auroraveil	900001	A	US	_v614skalman	Core destroyed	201	0	460	230
auroraveil_s900001_B	auroraveil	900001	B	OPP	_v542wave	Core destroyed	349	0	0	670
auroraveil_s900002_A	auroraveil	900002	A	OPP	_v542wave	Core destroyed	280	0	730	1150
auroraveil_s900002_B	auroraveil	900002	B	OPP	_v542wave	Core destroyed	240	0	0	550
bifrost_s900000_A	bifrost	900000	A	OPP	_v542wave	Core destroyed	352	0	850	1690
bifrost_s900000_B	bifrost	900000	B	OPP	_v542wave	Core destroyed	342	0	80	1640
bifrost_s900001_A	bifrost	900001	A	OPP	_v542wave	Core destroyed	259	0	490	880
bifrost_s900001_B	bifrost	900001	B	OPP	_v542wave	Core destroyed	121	0	80	460
bifrost_s900002_A	bifrost	900002	A	OPP	_v542wave	Core destroyed	174	0	410	820
bifrost_s900002_B	bifrost	900002	B	US	_v614skalman	Core destroyed	486	0	4770	1620
fimbulwinter_s900000_A	fimbulwinter	900000	A	US	_v614skalman	Core destroyed	134	0	580	0
fimbulwinter_s900000_B	fimbulwinter	900000	B	OPP	_v542wave	Core destroyed	182	0	840	750
fimbulwinter_s900001_A	fimbulwinter	900001	A	US	_v614skalman	Core destroyed	162	0	720	710
fimbulwinter_s900001_B	fimbulwinter	900001	B	OPP	_v542wave	Core destroyed	116	0	520	500
fimbulwinter_s900002_A	fimbulwinter	900002	A	US	_v614skalman	Core destroyed	210	0	960	520
fimbulwinter_s900002_B	fimbulwinter	900002	B	US	_v614skalman	Titanium collected (tiebreak)	1000	0	4940	4900
glacierkeep_s900000_A	glacierkeep	900000	A	US	_v614skalman	Core destroyed	201	0	500	0
glacierkeep_s900000_B	glacierkeep	900000	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s900001_A	glacierkeep	900001	A	US	_v614skalman	Core destroyed	201	0	500	0
glacierkeep_s900001_B	glacierkeep	900001	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s900002_A	glacierkeep	900002	A	US	_v614skalman	Core destroyed	201	0	500	0
glacierkeep_s900002_B	glacierkeep	900002	B	OPP	_v542wave	Core destroyed	160	0	170	480
helheim_s900000_A	helheim	900000	A	OPP	_v542wave	Core destroyed	210	0	510	1010
helheim_s900000_B	helheim	900000	B	OPP	_v542wave	Core destroyed	253	0	230	1210
helheim_s900001_A	helheim	900001	A	OPP	_v542wave	Core destroyed	213	0	850	520
helheim_s900001_B	helheim	900001	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	2920	7240
helheim_s900002_A	helheim	900002	A	OPP	_v542wave	Core destroyed	143	0	340	530
helheim_s900002_B	helheim	900002	B	OPP	_v542wave	Core destroyed	330	0	190	920
holmgang_s900000_A	holmgang	900000	A	OPP	_v542wave	Core destroyed	367	0	360	1310
holmgang_s900000_B	holmgang	900000	B	OPP	_v542wave	Core destroyed	157	0	380	730
holmgang_s900001_A	holmgang	900001	A	US	_v614skalman	Core destroyed	442	0	820	680
holmgang_s900001_B	holmgang	900001	B	OPP	_v542wave	Core destroyed	232	0	150	560
holmgang_s900002_A	holmgang	900002	A	US	_v614skalman	Core destroyed	261	0	120	630
holmgang_s900002_B	holmgang	900002	B	US	_v614skalman	Core destroyed	137	0	610	370
icefloe_s900000_A	icefloe	900000	A	US	_v614skalman	Core destroyed	137	0	460	220
icefloe_s900000_B	icefloe	900000	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	13960
icefloe_s900001_A	icefloe	900001	A	US	_v614skalman	Core destroyed	137	0	460	220
icefloe_s900001_B	icefloe	900001	B	OPP	_v542wave	Core destroyed	245	0	240	1980
icefloe_s900002_A	icefloe	900002	A	US	_v614skalman	Core destroyed	137	0	460	220
icefloe_s900002_B	icefloe	900002	B	OPP	_v542wave	Core destroyed	226	0	0	1900
jotunheim_s900000_A	jotunheim	900000	A	US	_v614skalman	Core destroyed	985	0	120	0
jotunheim_s900000_B	jotunheim	900000	B	US	_v614skalman	Core destroyed	261	0	130	390
jotunheim_s900001_A	jotunheim	900001	A	US	_v614skalman	Titanium collected (tiebreak)	597	0	110	0
jotunheim_s900001_B	jotunheim	900001	B	OPP	_v542wave	Core destroyed	269	0	0	0
jotunheim_s900002_A	jotunheim	900002	A	OPP	_v542wave	Core destroyed	550	0	130	400
jotunheim_s900002_B	jotunheim	900002	B	OPP	_v542wave	Core destroyed	137	0	0	280
longhouse_s900000_A	longhouse	900000	A	OPP	_v542wave	Core destroyed	152	0	120	820
longhouse_s900000_B	longhouse	900000	B	OPP	_v542wave	Core destroyed	116	0	60	580
longhouse_s900001_A	longhouse	900001	A	OPP	_v542wave	Core destroyed	298	0	40	360
longhouse_s900001_B	longhouse	900001	B	OPP	_v542wave	Core destroyed	289	0	60	1180
longhouse_s900002_A	longhouse	900002	A	OPP	_v542wave	Core destroyed	144	0	270	640
longhouse_s900002_B	longhouse	900002	B	US	_v614skalman	Core destroyed	181	0	810	780
midgard_s900000_A	midgard	900000	A	OPP	_v542wave	Core destroyed	97	0	340	680
midgard_s900000_B	midgard	900000	B	OPP	_v542wave	Core destroyed	107	0	430	920
midgard_s900001_A	midgard	900001	A	OPP	_v542wave	Core destroyed	96	0	300	940
midgard_s900001_B	midgard	900001	B	OPP	_v542wave	Core destroyed	119	0	610	1160
midgard_s900002_A	midgard	900002	A	OPP	_v542wave	Core destroyed	96	0	340	910
midgard_s900002_B	midgard	900002	B	OPP	_v542wave	Core destroyed	107	0	430	920
paths_s900000_A	paths	900000	A	OPP	_v542wave	Core destroyed	147	0	350	590
paths_s900000_B	paths	900000	B	OPP	_v542wave	Core destroyed	161	0	380	840
paths_s900001_A	paths	900001	A	US	_v614skalman	Core destroyed	261	0	570	330
paths_s900001_B	paths	900001	B	OPP	_v542wave	Core destroyed	161	0	380	650
paths_s900002_A	paths	900002	A	OPP	_v542wave	Core destroyed	203	0	260	930
paths_s900002_B	paths	900002	B	OPP	_v542wave	Core destroyed	161	0	380	730
skald_s900000_A	skald	900000	A	OPP	_v542wave	Core destroyed	140	0	550	860
skald_s900000_B	skald	900000	B	US	_v614skalman	Core destroyed	209	0	1000	700
skald_s900001_A	skald	900001	A	US	_v614skalman	Core destroyed	192	0	1340	1360
skald_s900001_B	skald	900001	B	US	_v614skalman	Core destroyed	413	0	1260	1320
skald_s900002_A	skald	900002	A	OPP	_v542wave	Core destroyed	169	0	760	1130
skald_s900002_B	skald	900002	B	OPP	_v542wave	Core destroyed	169	0	780	710
stavkirke_s900000_A	stavkirke	900000	A	OPP	_v542wave	Core destroyed	124	0	150	430
stavkirke_s900000_B	stavkirke	900000	B	US	_v614skalman	Core destroyed	125	0	240	0
