tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s904024_A	auroraveil	904024	A	OPP	_v542wave	Core destroyed	689	0	1710	2760
auroraveil_s904024_B	auroraveil	904024	B	OPP	_v542wave	Core destroyed	217	0	80	670
auroraveil_s904025_A	auroraveil	904025	A	OPP	_v542wave	Core destroyed	447	0	850	3690
auroraveil_s904025_B	auroraveil	904025	B	OPP	_v542wave	Core destroyed	248	0	110	570
auroraveil_s904026_A	auroraveil	904026	A	OPP	_v542wave	Core destroyed	236	0	720	1280
auroraveil_s904026_B	auroraveil	904026	B	OPP	_v542wave	Core destroyed	276	0	110	640
bifrost_s904024_A	bifrost	904024	A	OPP	_v542wave	Core destroyed	150	0	350	690
bifrost_s904024_B	bifrost	904024	B	OPP	_v542wave	Core destroyed	283	0	550	1330
bifrost_s904025_A	bifrost	904025	A	US	_v620skalman	Titanium collected (tiebreak)	1000	0	2480	570
bifrost_s904025_B	bifrost	904025	B	US	_v620skalman	Core destroyed	222	0	310	260
bifrost_s904026_A	bifrost	904026	A	US	_v620skalman	Core destroyed	181	0	430	480
bifrost_s904026_B	bifrost	904026	B	US	_v620skalman	Core destroyed	486	0	4770	1620
fimbulwinter_s904024_A	fimbulwinter	904024	A	US	_v620skalman	Core destroyed	130	0	560	300
fimbulwinter_s904024_B	fimbulwinter	904024	B	OPP	_v542wave	Core destroyed	182	0	840	750
fimbulwinter_s904025_A	fimbulwinter	904025	A	US	_v620skalman	Core destroyed	479	0	2310	760
fimbulwinter_s904025_B	fimbulwinter	904025	B	OPP	_v542wave	Core destroyed	116	0	520	500
fimbulwinter_s904026_A	fimbulwinter	904026	A	US	_v620skalman	Core destroyed	112	0	480	260
fimbulwinter_s904026_B	fimbulwinter	904026	B	OPP	_v542wave	Core destroyed	116	0	520	500
glacierkeep_s904024_A	glacierkeep	904024	A	US	_v620skalman	Core destroyed	201	0	500	0
glacierkeep_s904024_B	glacierkeep	904024	B	OPP	_v542wave	Core destroyed	223	0	0	880
glacierkeep_s904025_A	glacierkeep	904025	A	US	_v620skalman	Core destroyed	201	0	500	0
glacierkeep_s904025_B	glacierkeep	904025	B	OPP	_v542wave	Core destroyed	160	0	170	480
glacierkeep_s904026_A	glacierkeep	904026	A	US	_v620skalman	Core destroyed	201	0	500	0
glacierkeep_s904026_B	glacierkeep	904026	B	OPP	_v542wave	Core destroyed	191	0	0	480
helheim_s904024_A	helheim	904024	A	OPP	_v542wave	Core destroyed	214	0	1040	790
helheim_s904024_B	helheim	904024	B	OPP	_v542wave	Core destroyed	215	0	520	840
helheim_s904025_A	helheim	904025	A	OPP	_v542wave	Core destroyed	137	0	330	490
helheim_s904025_B	helheim	904025	B	OPP	_v542wave	Core destroyed	182	0	80	540
helheim_s904026_A	helheim	904026	A	OPP	_v542wave	Core destroyed	214	0	1040	790
helheim_s904026_B	helheim	904026	B	OPP	_v542wave	Core destroyed	579	0	170	230
holmgang_s904024_A	holmgang	904024	A	OPP	_v542wave	Core destroyed	134	0	0	510
holmgang_s904024_B	holmgang	904024	B	OPP	_v542wave	Core destroyed	154	0	370	720
holmgang_s904025_A	holmgang	904025	A	OPP	_v542wave	Core destroyed	474	0	70	1270
holmgang_s904025_B	holmgang	904025	B	OPP	_v542wave	Core destroyed	206	0	920	900
holmgang_s904026_A	holmgang	904026	A	OPP	_v542wave	Core destroyed	367	0	360	1310
holmgang_s904026_B	holmgang	904026	B	OPP	_v542wave	Titanium collected (tiebreak)	230	0	440	470
icefloe_s904024_A	icefloe	904024	A	US	_v620skalman	Core destroyed	137	0	460	220
icefloe_s904024_B	icefloe	904024	B	OPP	_v542wave	Core destroyed	617	0	0	6190
icefloe_s904025_A	icefloe	904025	A	US	_v620skalman	Core destroyed	137	0	460	220
icefloe_s904025_B	icefloe	904025	B	OPP	_v542wave	Core destroyed	197	0	0	1020
icefloe_s904026_A	icefloe	904026	A	US	_v620skalman	Core destroyed	137	0	460	220
icefloe_s904026_B	icefloe	904026	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	12900
jotunheim_s904024_A	jotunheim	904024	A	OPP	_v542wave	Core destroyed	381	0	180	0
jotunheim_s904024_B	jotunheim	904024	B	US	_v620skalman	Core destroyed	185	0	720	0
jotunheim_s904025_A	jotunheim	904025	A	OPP	_v542wave	Core destroyed	392	0	220	410
jotunheim_s904025_B	jotunheim	904025	B	OPP	_v542wave	Core destroyed	253	0	0	60
jotunheim_s904026_A	jotunheim	904026	A	US	_v620skalman	Core destroyed	277	0	440	0
jotunheim_s904026_B	jotunheim	904026	B	OPP	_v542wave	Core destroyed	269	0	0	0
longhouse_s904024_A	longhouse	904024	A	OPP	_v542wave	Core destroyed	144	0	270	640
longhouse_s904024_B	longhouse	904024	B	OPP	_v542wave	Core destroyed	116	0	60	530
longhouse_s904025_A	longhouse	904025	A	OPP	_v542wave	Core destroyed	134	0	60	840
longhouse_s904025_B	longhouse	904025	B	OPP	_v542wave	Core destroyed	137	0	580	850
longhouse_s904026_A	longhouse	904026	A	OPP	_v542wave	Core destroyed	169	0	200	740
longhouse_s904026_B	longhouse	904026	B	OPP	_v542wave	Core destroyed	116	0	60	530
midgard_s904024_A	midgard	904024	A	OPP	_v542wave	Core destroyed	96	0	300	930
midgard_s904024_B	midgard	904024	B	OPP	_v542wave	Core destroyed	108	0	430	930
midgard_s904025_A	midgard	904025	A	OPP	_v542wave	Core destroyed	76	0	310	680
midgard_s904025_B	midgard	904025	B	OPP	_v542wave	Core destroyed	107	0	430	920
midgard_s904026_A	midgard	904026	A	OPP	_v542wave	Core destroyed	97	0	340	680
midgard_s904026_B	midgard	904026	B	OPP	_v542wave	Core destroyed	96	0	410	770
paths_s904024_A	paths	904024	A	OPP	_v542wave	Core destroyed	197	0	470	900
paths_s904024_B	paths	904024	B	OPP	_v542wave	Core destroyed	161	0	380	650
paths_s904025_A	paths	904025	A	US	_v620skalman	Core destroyed	261	0	570	330
paths_s904025_B	paths	904025	B	OPP	_v542wave	Core destroyed	123	0	280	560
paths_s904026_A	paths	904026	A	OPP	_v542wave	Core destroyed	206	0	490	800
paths_s904026_B	paths	904026	B	OPP	_v542wave	Core destroyed	180	0	430	840
skald_s904024_A	skald	904024	A	US	_v620skalman	Core destroyed	148	0	1080	520
skald_s904024_B	skald	904024	B	OPP	_v542wave	Core destroyed	179	0	490	500
skald_s904025_A	skald	904025	A	OPP	_v542wave	Core destroyed	130	0	350	590
skald_s904025_B	skald	904025	B	OPP	_v542wave	Core destroyed	185	0	250	490
skald_s904026_A	skald	904026	A	OPP	_v542wave	Core destroyed	130	0	350	590
skald_s904026_B	skald	904026	B	US	_v620skalman	Core destroyed	110	0	500	640
stavkirke_s904024_A	stavkirke	904024	A	US	_v620skalman	Core destroyed	390	0	610	280
stavkirke_s904024_B	stavkirke	904024	B	OPP	_v542wave	Core destroyed	433	0	10	1050
stavkirke_s904025_A	stavkirke	904025	A	OPP	_v542wave	Core destroyed	206	0	730	880
stavkirke_s904025_B	stavkirke	904025	B	OPP	_v542wave	Core destroyed	249	0	120	0
stavkirke_s904026_A	stavkirke	904026	A	OPP	_v542wave	Core destroyed	177	0	710	200
