tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s904024_A	auroraveil	904024	A	OPP	_v542wave	Core destroyed	427	0	1020	960
auroraveil_s904024_B	auroraveil	904024	B	OPP	_v542wave	Core destroyed	208	0	0	470
auroraveil_s904025_A	auroraveil	904025	A	US	ctrl_dup	Core destroyed	178	0	710	150
auroraveil_s904025_B	auroraveil	904025	B	OPP	_v542wave	Core destroyed	171	0	120	530
auroraveil_s904026_A	auroraveil	904026	A	US	ctrl_dup	Core destroyed	178	0	710	150
auroraveil_s904026_B	auroraveil	904026	B	OPP	_v542wave	Core destroyed	248	0	110	570
bifrost_s904024_A	bifrost	904024	A	US	ctrl_dup	Titanium collected (tiebreak)	1000	0	1780	570
bifrost_s904024_B	bifrost	904024	B	OPP	_v542wave	Core destroyed	121	0	80	460
bifrost_s904025_A	bifrost	904025	A	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	4180	4910
bifrost_s904025_B	bifrost	904025	B	OPP	_v542wave	Core destroyed	481	0	80	2360
bifrost_s904026_A	bifrost	904026	A	OPP	_v542wave	Core destroyed	355	0	860	1690
bifrost_s904026_B	bifrost	904026	B	US	ctrl_dup	Core destroyed	328	0	1590	1420
fimbulwinter_s904024_A	fimbulwinter	904024	A	US	ctrl_dup	Core destroyed	148	0	660	340
fimbulwinter_s904024_B	fimbulwinter	904024	B	US	ctrl_dup	Core destroyed	546	0	2670	2640
fimbulwinter_s904025_A	fimbulwinter	904025	A	US	ctrl_dup	Titanium collected (tiebreak)	1000	0	4920	2480
fimbulwinter_s904025_B	fimbulwinter	904025	B	US	ctrl_dup	Core destroyed	268	0	1280	230
fimbulwinter_s904026_A	fimbulwinter	904026	A	US	ctrl_dup	Core destroyed	162	0	720	250
fimbulwinter_s904026_B	fimbulwinter	904026	B	OPP	_v542wave	Core destroyed	116	0	520	500
glacierkeep_s904024_A	glacierkeep	904024	A	US	ctrl_dup	Core destroyed	201	0	500	0
glacierkeep_s904024_B	glacierkeep	904024	B	OPP	_v542wave	Core destroyed	223	0	0	880
glacierkeep_s904025_A	glacierkeep	904025	A	US	ctrl_dup	Core destroyed	201	0	500	0
glacierkeep_s904025_B	glacierkeep	904025	B	OPP	_v542wave	Core destroyed	223	0	0	880
glacierkeep_s904026_A	glacierkeep	904026	A	US	ctrl_dup	Core destroyed	201	0	500	0
glacierkeep_s904026_B	glacierkeep	904026	B	OPP	_v542wave	Core destroyed	191	0	0	480
helheim_s904024_A	helheim	904024	A	OPP	_v542wave	Core destroyed	143	0	340	860
helheim_s904024_B	helheim	904024	B	OPP	_v542wave	Core destroyed	142	0	340	990
helheim_s904025_A	helheim	904025	A	OPP	_v542wave	Core destroyed	159	0	380	740
helheim_s904025_B	helheim	904025	B	OPP	_v542wave	Core destroyed	301	0	60	1280
helheim_s904026_A	helheim	904026	A	OPP	_v542wave	Core destroyed	127	0	300	580
helheim_s904026_B	helheim	904026	B	OPP	_v542wave	Core destroyed	166	0	240	610
holmgang_s904024_A	holmgang	904024	A	OPP	_v542wave	Core destroyed	296	0	140	1160
holmgang_s904024_B	holmgang	904024	B	US	ctrl_dup	Core destroyed	187	0	850	440
holmgang_s904025_A	holmgang	904025	A	US	ctrl_dup	Core destroyed	339	0	440	820
holmgang_s904025_B	holmgang	904025	B	OPP	_v542wave	Core destroyed	146	0	240	660
holmgang_s904026_A	holmgang	904026	A	OPP	_v542wave	Core destroyed	130	0	0	600
holmgang_s904026_B	holmgang	904026	B	US	ctrl_dup	Core destroyed	137	0	610	370
icefloe_s904024_A	icefloe	904024	A	US	ctrl_dup	Core destroyed	137	0	460	220
icefloe_s904024_B	icefloe	904024	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	12900
icefloe_s904025_A	icefloe	904025	A	US	ctrl_dup	Core destroyed	137	0	460	220
icefloe_s904025_B	icefloe	904025	B	OPP	_v542wave	Core destroyed	605	0	0	5940
icefloe_s904026_A	icefloe	904026	A	US	ctrl_dup	Core destroyed	137	0	460	220
icefloe_s904026_B	icefloe	904026	B	OPP	_v542wave	Core destroyed	557	0	0	5100
jotunheim_s904024_A	jotunheim	904024	A	OPP	_v542wave	Core destroyed	193	0	110	0
jotunheim_s904024_B	jotunheim	904024	B	OPP	_v542wave	Core destroyed	137	0	0	280
jotunheim_s904025_A	jotunheim	904025	A	US	ctrl_dup	Core destroyed	293	0	1190	0
jotunheim_s904025_B	jotunheim	904025	B	OPP	_v542wave	Core destroyed	249	0	520	860
jotunheim_s904026_A	jotunheim	904026	A	US	ctrl_dup	Titanium collected (tiebreak)	597	0	110	0
jotunheim_s904026_B	jotunheim	904026	B	US	ctrl_dup	Core destroyed	261	0	130	390
longhouse_s904024_A	longhouse	904024	A	OPP	_v542wave	Core destroyed	134	0	60	840
longhouse_s904024_B	longhouse	904024	B	OPP	_v542wave	Core destroyed	116	0	60	530
longhouse_s904025_A	longhouse	904025	A	OPP	_v542wave	Core destroyed	169	0	200	740
longhouse_s904025_B	longhouse	904025	B	OPP	_v542wave	Core destroyed	116	0	60	530
longhouse_s904026_A	longhouse	904026	A	OPP	_v542wave	Core destroyed	131	0	80	730
longhouse_s904026_B	longhouse	904026	B	OPP	_v542wave	Core destroyed	204	0	920	770
midgard_s904024_A	midgard	904024	A	OPP	_v542wave	Core destroyed	96	0	310	910
midgard_s904024_B	midgard	904024	B	OPP	_v542wave	Core destroyed	96	0	410	770
midgard_s904025_A	midgard	904025	A	OPP	_v542wave	Core destroyed	96	0	290	950
midgard_s904025_B	midgard	904025	B	OPP	_v542wave	Core destroyed	70	0	320	490
midgard_s904026_A	midgard	904026	A	OPP	_v542wave	Core destroyed	91	0	350	870
midgard_s904026_B	midgard	904026	B	OPP	_v542wave	Core destroyed	70	0	320	490
paths_s904024_A	paths	904024	A	OPP	_v542wave	Core destroyed	170	0	400	770
paths_s904024_B	paths	904024	B	OPP	_v542wave	Core destroyed	167	0	390	750
paths_s904025_A	paths	904025	A	OPP	_v542wave	Core destroyed	172	0	410	950
paths_s904025_B	paths	904025	B	OPP	_v542wave	Core destroyed	161	0	380	650
paths_s904026_A	paths	904026	A	OPP	_v542wave	Core destroyed	132	0	310	580
paths_s904026_B	paths	904026	B	OPP	_v542wave	Core destroyed	123	0	280	560
skald_s904024_A	skald	904024	A	OPP	_v542wave	Core destroyed	194	0	1370	1170
skald_s904024_B	skald	904024	B	OPP	_v542wave	Core destroyed	188	0	880	590
skald_s904025_A	skald	904025	A	OPP	_v542wave	Core destroyed	226	0	1160	1610
skald_s904025_B	skald	904025	B	OPP	_v542wave	Core destroyed	256	0	290	2250
skald_s904026_A	skald	904026	A	OPP	_v542wave	Core destroyed	125	0	340	740
skald_s904026_B	skald	904026	B	US	ctrl_dup	Core destroyed	193	0	920	900
stavkirke_s904024_A	stavkirke	904024	A	US	ctrl_dup	Core destroyed	264	0	630	0
stavkirke_s904024_B	stavkirke	904024	B	US	ctrl_dup	Core destroyed	125	0	240	0
stavkirke_s904025_A	stavkirke	904025	A	OPP	_v542wave	Core destroyed	121	0	270	490
stavkirke_s904025_B	stavkirke	904025	B	OPP	_v542wave	Core destroyed	194	0	0	670
stavkirke_s904026_A	stavkirke	904026	A	OPP	_v542wave	Core destroyed	142	0	530	530
stavkirke_s904026_B	stavkirke	904026	B	OPP	_v542wave	Core destroyed	365	0	120	0
valkyrie_s904024_A	valkyrie	904024	A	OPP	_v542wave	Core destroyed	108	0	190	460
valkyrie_s904024_B	valkyrie	904024	B	US	ctrl_dup	Core destroyed	113	0	230	450
valkyrie_s904025_A	valkyrie	904025	A	US	ctrl_dup	Core destroyed	256	0	1360	1640
valkyrie_s904025_B	valkyrie	904025	B	US	ctrl_dup	Core destroyed	113	0	230	450
valkyrie_s904026_A	valkyrie	904026	A	OPP	_v542wave	Core destroyed	212	0	600	1370
valkyrie_s904026_B	valkyrie	904026	B	OPP	_v542wave	Core destroyed	193	0	550	1160
yggdrasil_s904024_A	yggdrasil	904024	A	OPP	_v542wave	Core destroyed	116	0	50	250
yggdrasil_s904024_B	yggdrasil	904024	B	US	ctrl_dup	Core destroyed	249	0	590	0
yggdrasil_s904025_A	yggdrasil	904025	A	OPP	_v542wave	Core destroyed	353	0	50	250
yggdrasil_s904025_B	yggdrasil	904025	B	US	ctrl_dup	Core destroyed	573	0	1400	310
yggdrasil_s904026_A	yggdrasil	904026	A	OPP	_v542wave	Core destroyed	192	0	50	450
yggdrasil_s904026_B	yggdrasil	904026	B	OPP	_v542wave	Core destroyed	132	0	300	500
