tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s904021_A	auroraveil	904021	A	OPP	_v542wave	Core destroyed	268	0	620	750
auroraveil_s904021_B	auroraveil	904021	B	OPP	_v542wave	Core destroyed	286	0	0	810
auroraveil_s904022_A	auroraveil	904022	A	OPP	_v542wave	Core destroyed	744	0	1840	3040
auroraveil_s904022_B	auroraveil	904022	B	OPP	_v542wave	Core destroyed	242	0	0	560
auroraveil_s904023_A	auroraveil	904023	A	US	_v622nestfall	Core destroyed	185	0	520	180
auroraveil_s904023_B	auroraveil	904023	B	OPP	_v542wave	Core destroyed	334	0	180	790
bifrost_s904021_A	bifrost	904021	A	OPP	_v542wave	Core destroyed	227	0	540	1060
bifrost_s904021_B	bifrost	904021	B	OPP	_v542wave	Core destroyed	278	0	580	1290
bifrost_s904022_A	bifrost	904022	A	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	4120	4920
bifrost_s904022_B	bifrost	904022	B	US	_v622nestfall	Core destroyed	486	0	4770	1620
bifrost_s904023_A	bifrost	904023	A	OPP	_v542wave	Core destroyed	259	0	490	880
bifrost_s904023_B	bifrost	904023	B	OPP	_v542wave	Core destroyed	283	0	550	1330
fimbulwinter_s904021_A	fimbulwinter	904021	A	US	_v622nestfall	Core destroyed	112	0	480	260
fimbulwinter_s904021_B	fimbulwinter	904021	B	OPP	_v542wave	Core destroyed	187	0	870	850
fimbulwinter_s904022_A	fimbulwinter	904022	A	US	_v622nestfall	Core destroyed	180	0	630	190
fimbulwinter_s904022_B	fimbulwinter	904022	B	US	_v622nestfall	Titanium collected (tiebreak)	1000	0	4940	3950
fimbulwinter_s904023_A	fimbulwinter	904023	A	US	_v622nestfall	Core destroyed	150	0	560	570
fimbulwinter_s904023_B	fimbulwinter	904023	B	US	_v622nestfall	Core destroyed	151	0	700	250
glacierkeep_s904021_A	glacierkeep	904021	A	US	_v622nestfall	Core destroyed	201	0	500	0
glacierkeep_s904021_B	glacierkeep	904021	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s904022_A	glacierkeep	904022	A	US	_v622nestfall	Core destroyed	201	0	500	0
glacierkeep_s904022_B	glacierkeep	904022	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s904023_A	glacierkeep	904023	A	US	_v622nestfall	Core destroyed	201	0	500	0
glacierkeep_s904023_B	glacierkeep	904023	B	OPP	_v542wave	Core destroyed	191	0	0	480
helheim_s904021_A	helheim	904021	A	US	_v622nestfall	Core destroyed	190	0	770	190
helheim_s904021_B	helheim	904021	B	OPP	_v542wave	Core destroyed	215	0	520	840
helheim_s904022_A	helheim	904022	A	OPP	_v542wave	Core destroyed	281	0	60	60
helheim_s904022_B	helheim	904022	B	OPP	_v542wave	Core destroyed	301	0	60	1280
helheim_s904023_A	helheim	904023	A	OPP	_v542wave	Core destroyed	303	0	1260	640
helheim_s904023_B	helheim	904023	B	OPP	_v542wave	Core destroyed	122	0	70	550
holmgang_s904021_A	holmgang	904021	A	OPP	_v542wave	Core destroyed	116	0	0	520
holmgang_s904021_B	holmgang	904021	B	OPP	_v542wave	Core destroyed	175	0	290	410
holmgang_s904022_A	holmgang	904022	A	OPP	_v542wave	Core destroyed	245	0	430	1180
holmgang_s904022_B	holmgang	904022	B	OPP	_v542wave	Core destroyed	259	0	1200	710
holmgang_s904023_A	holmgang	904023	A	OPP	_v542wave	Core destroyed	130	0	0	600
holmgang_s904023_B	holmgang	904023	B	OPP	_v542wave	Core destroyed	157	0	380	730
icefloe_s904021_A	icefloe	904021	A	US	_v622nestfall	Core destroyed	137	0	460	220
icefloe_s904021_B	icefloe	904021	B	OPP	_v542wave	Core destroyed	414	0	0	4090
icefloe_s904022_A	icefloe	904022	A	US	_v622nestfall	Core destroyed	137	0	460	220
icefloe_s904022_B	icefloe	904022	B	OPP	_v542wave	Core destroyed	605	0	0	5940
icefloe_s904023_A	icefloe	904023	A	US	_v622nestfall	Core destroyed	137	0	460	220
icefloe_s904023_B	icefloe	904023	B	OPP	_v542wave	Core destroyed	197	0	0	1020
jotunheim_s904021_A	jotunheim	904021	A	OPP	_v542wave	Core destroyed	405	0	110	0
jotunheim_s904021_B	jotunheim	904021	B	OPP	_v542wave	Core destroyed	147	0	0	300
jotunheim_s904022_A	jotunheim	904022	A	US	_v622nestfall	Core destroyed	214	0	650	0
jotunheim_s904022_B	jotunheim	904022	B	OPP	_v542wave	Core destroyed	253	0	0	60
jotunheim_s904023_A	jotunheim	904023	A	OPP	_v542wave	Core destroyed	385	0	130	0
jotunheim_s904023_B	jotunheim	904023	B	OPP	_v542wave	Core destroyed	269	0	0	0
longhouse_s904021_A	longhouse	904021	A	OPP	_v542wave	Core destroyed	131	0	80	730
longhouse_s904021_B	longhouse	904021	B	OPP	_v542wave	Core destroyed	116	0	60	590
longhouse_s904022_A	longhouse	904022	A	OPP	_v542wave	Core destroyed	116	0	100	650
longhouse_s904022_B	longhouse	904022	B	OPP	_v542wave	Core destroyed	137	0	580	850
longhouse_s904023_A	longhouse	904023	A	OPP	_v542wave	Core destroyed	134	0	60	840
longhouse_s904023_B	longhouse	904023	B	OPP	_v542wave	Core destroyed	127	0	120	640
midgard_s904021_A	midgard	904021	A	OPP	_v542wave	Core destroyed	96	0	290	950
midgard_s904021_B	midgard	904021	B	OPP	_v542wave	Core destroyed	182	0	430	1700
midgard_s904022_A	midgard	904022	A	OPP	_v542wave	Core destroyed	76	0	320	670
midgard_s904022_B	midgard	904022	B	OPP	_v542wave	Core destroyed	70	0	320	490
midgard_s904023_A	midgard	904023	A	OPP	_v542wave	Core destroyed	96	0	310	910
midgard_s904023_B	midgard	904023	B	OPP	_v542wave	Core destroyed	182	0	430	1700
paths_s904021_A	paths	904021	A	OPP	_v542wave	Core destroyed	165	0	390	710
paths_s904021_B	paths	904021	B	OPP	_v542wave	Core destroyed	144	0	340	660
paths_s904022_A	paths	904022	A	OPP	_v542wave	Core destroyed	147	0	350	590
paths_s904022_B	paths	904022	B	OPP	_v542wave	Core destroyed	146	0	340	670
paths_s904023_A	paths	904023	A	OPP	_v542wave	Core destroyed	204	0	180	590
paths_s904023_B	paths	904023	B	OPP	_v542wave	Core destroyed	146	0	340	670
skald_s904021_A	skald	904021	A	OPP	_v542wave	Core destroyed	130	0	350	590
skald_s904021_B	skald	904021	B	OPP	_v542wave	Core destroyed	124	0	350	520
skald_s904022_A	skald	904022	A	OPP	_v542wave	Core destroyed	238	0	600	1780
skald_s904022_B	skald	904022	B	OPP	_v542wave	Core destroyed	124	0	350	520
skald_s904023_A	skald	904023	A	OPP	_v542wave	Core destroyed	156	0	820	970
skald_s904023_B	skald	904023	B	US	_v622nestfall	Core destroyed	117	0	540	720
stavkirke_s904021_A	stavkirke	904021	A	OPP	_v542wave	Core destroyed	142	0	530	530
stavkirke_s904021_B	stavkirke	904021	B	OPP	_v542wave	Core destroyed	158	0	0	590
stavkirke_s904022_A	stavkirke	904022	A	OPP	_v542wave	Core destroyed	153	0	130	370
stavkirke_s904022_B	stavkirke	904022	B	OPP	_v542wave	Core destroyed	249	0	120	0
stavkirke_s904023_A	stavkirke	904023	A	US	_v622nestfall	Core destroyed	264	0	630	0
stavkirke_s904023_B	stavkirke	904023	B	OPP	_v542wave	Core destroyed	188	0	0	440
valkyrie_s904021_A	valkyrie	904021	A	OPP	_v542wave	Core destroyed	180	0	370	990
