tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930000_A	auroraveil	930000	A	OPP	_x3r0v168mjolnir	Core destroyed	176	0	0	1050
auroraveil_s930000_B	auroraveil	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	170	0	0	500
auroraveil_s930001_A	auroraveil	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	239	0	0	800
auroraveil_s930001_B	auroraveil	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	521	0	0	0
auroraveil_s930002_A	auroraveil	930002	A	OPP	_x3r0v168mjolnir	Core destroyed	200	0	0	1290
auroraveil_s930002_B	auroraveil	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	303	0	0	610
bifrost_s930000_A	bifrost	930000	A	US	_v623healweld	Core destroyed	481	0	110	2320
bifrost_s930000_B	bifrost	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	146	0	340	670
bifrost_s930001_A	bifrost	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	196	0	100	910
bifrost_s930001_B	bifrost	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	131	0	80	590
bifrost_s930002_A	bifrost	930002	A	OPP	_x3r0v168mjolnir	Core destroyed	196	0	100	910
bifrost_s930002_B	bifrost	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	141	0	80	630
fimbulwinter_s930000_A	fimbulwinter	930000	A	OPP	_x3r0v168mjolnir	Core destroyed	403	0	1740	1920
fimbulwinter_s930000_B	fimbulwinter	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	247	0	1160	400
fimbulwinter_s930001_A	fimbulwinter	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	282	0	1320	680
fimbulwinter_s930001_B	fimbulwinter	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	181	0	840	400
fimbulwinter_s930002_A	fimbulwinter	930002	A	US	_v623healweld	Core destroyed	280	0	1310	280
fimbulwinter_s930002_B	fimbulwinter	930002	B	US	_v623healweld	Core destroyed	100	0	440	390
glacierkeep_s930000_A	glacierkeep	930000	A	OPP	_x3r0v168mjolnir	Core destroyed	174	0	130	540
glacierkeep_s930000_B	glacierkeep	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
glacierkeep_s930001_A	glacierkeep	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	181	0	10	590
glacierkeep_s930001_B	glacierkeep	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
glacierkeep_s930002_A	glacierkeep	930002	A	OPP	_x3r0v168mjolnir	Core destroyed	194	0	110	660
glacierkeep_s930002_B	glacierkeep	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
helheim_s930000_A	helheim	930000	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930000_B	helheim	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
helheim_s930001_A	helheim	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	178	0	430	1010
helheim_s930001_B	helheim	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
helheim_s930002_A	helheim	930002	A	US	_v623healweld	Titanium collected (tiebreak)	1000	0	2490	340
helheim_s930002_B	helheim	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	200	1110
holmgang_s930000_A	holmgang	930000	A	US	_v623healweld	Core destroyed	165	0	380	730
holmgang_s930000_B	holmgang	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	213	0	260	150
holmgang_s930001_A	holmgang	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	319	0	520	1190
holmgang_s930001_B	holmgang	930001	B	US	_v623healweld	Core destroyed	133	0	260	510
holmgang_s930002_A	holmgang	930002	A	US	_v623healweld	Core destroyed	165	0	380	730
holmgang_s930002_B	holmgang	930002	B	US	_v623healweld	Core destroyed	133	0	260	510
icefloe_s930000_A	icefloe	930000	A	OPP	_x3r0v168mjolnir	Core destroyed	479	0	410	3970
icefloe_s930000_B	icefloe	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	429	0	0	6310
icefloe_s930001_A	icefloe	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	191	0	340	1150
icefloe_s930001_B	icefloe	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	850	0	0	5600
icefloe_s930002_A	icefloe	930002	A	OPP	_x3r0v168mjolnir	Core destroyed	331	0	440	3210
icefloe_s930002_B	icefloe	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	429	0	0	6300
jotunheim_s930000_A	jotunheim	930000	A	US	_v623healweld	Core destroyed	270	0	1090	0
jotunheim_s930000_B	jotunheim	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	725	0	0	0
jotunheim_s930001_A	jotunheim	930001	A	US	_v623healweld	Core destroyed	270	0	1090	0
jotunheim_s930001_B	jotunheim	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	681	0	0	0
jotunheim_s930002_A	jotunheim	930002	A	US	_v623healweld	Core destroyed	248	0	1000	0
jotunheim_s930002_B	jotunheim	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	681	0	0	0
longhouse_s930000_A	longhouse	930000	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2390	9630
longhouse_s930000_B	longhouse	930000	B	US	_v623healweld	Core destroyed	340	0	940	2730
longhouse_s930001_A	longhouse	930001	A	US	_v623healweld	Core destroyed	686	0	1610	4920
longhouse_s930001_B	longhouse	930001	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2420	7230
longhouse_s930002_A	longhouse	930002	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2390	9650
longhouse_s930002_B	longhouse	930002	B	OPP	_x3r0v168mjolnir	Core destroyed	182	0	270	1430
midgard_s930000_A	midgard	930000	A	OPP	_x3r0v168mjolnir	Core destroyed	87	0	410	620
midgard_s930000_B	midgard	930000	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
midgard_s930001_A	midgard	930001	A	OPP	_x3r0v168mjolnir	Core destroyed	93	0	460	670
midgard_s930001_B	midgard	930001	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
