tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930303_A	auroraveil	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	171	0	0	880
auroraveil_s930303_B	auroraveil	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	303	0	0	580
auroraveil_s930304_A	auroraveil	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	121	0	0	590
auroraveil_s930304_B	auroraveil	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	249	0	0	580
auroraveil_s930305_A	auroraveil	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	239	0	0	800
auroraveil_s930305_B	auroraveil	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	521	0	0	0
bifrost_s930303_A	bifrost	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	100	740
bifrost_s930303_B	bifrost	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	141	0	80	590
bifrost_s930304_A	bifrost	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	100	740
bifrost_s930304_B	bifrost	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	137	0	80	610
bifrost_s930305_A	bifrost	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	170	0	110	780
bifrost_s930305_B	bifrost	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	146	0	340	670
fimbulwinter_s930303_A	fimbulwinter	930303	A	US	_v623healweld	Core destroyed	401	0	1920	300
fimbulwinter_s930303_B	fimbulwinter	930303	B	US	_v623healweld	Core destroyed	165	0	760	180
fimbulwinter_s930304_A	fimbulwinter	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	209	0	440	950
fimbulwinter_s930304_B	fimbulwinter	930304	B	US	_v623healweld	Core destroyed	165	0	760	180
fimbulwinter_s930305_A	fimbulwinter	930305	A	US	_v623healweld	Core destroyed	238	0	1100	190
fimbulwinter_s930305_B	fimbulwinter	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	173	0	800	710
glacierkeep_s930303_A	glacierkeep	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	173	0	140	560
glacierkeep_s930303_B	glacierkeep	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	545	0	0	470
glacierkeep_s930304_A	glacierkeep	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	297	0	130	750
glacierkeep_s930304_B	glacierkeep	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
glacierkeep_s930305_A	glacierkeep	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	312	0	140	1160
glacierkeep_s930305_B	glacierkeep	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	545	0	0	470
helheim_s930303_A	helheim	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930303_B	helheim	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	200	1110
helheim_s930304_A	helheim	930304	A	US	_v623healweld	Core destroyed	392	0	970	1420
helheim_s930304_B	helheim	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	520	0	310	2990
helheim_s930305_A	helheim	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930305_B	helheim	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
holmgang_s930303_A	holmgang	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	394	0	870	1860
holmgang_s930303_B	holmgang	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	213	0	260	150
holmgang_s930304_A	holmgang	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	201	0	470	480
holmgang_s930304_B	holmgang	930304	B	US	_v623healweld	Core destroyed	133	0	260	510
holmgang_s930305_A	holmgang	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	193	0	450	460
holmgang_s930305_B	holmgang	930305	B	US	_v623healweld	Core destroyed	126	0	430	280
icefloe_s930303_A	icefloe	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	336	0	340	2690
icefloe_s930303_B	icefloe	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	225	0	0	1030
icefloe_s930304_A	icefloe	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	485	0	340	770
icefloe_s930304_B	icefloe	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	441	0	0	5490
icefloe_s930305_A	icefloe	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	331	0	440	3210
icefloe_s930305_B	icefloe	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	384	0	0	4460
jotunheim_s930303_A	jotunheim	930303	A	US	_v623healweld	Core destroyed	248	0	1000	0
jotunheim_s930303_B	jotunheim	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	301	0	0	0
jotunheim_s930304_A	jotunheim	930304	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	90	1830
jotunheim_s930304_B	jotunheim	930304	B	OPP	_x3r0v168mjolnir	Harvesters (tiebreak)	1000	0	0	0
jotunheim_s930305_A	jotunheim	930305	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	520	5820
jotunheim_s930305_B	jotunheim	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	537	0	0	0
longhouse_s930303_A	longhouse	930303	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2120	7530
longhouse_s930303_B	longhouse	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	182	0	270	1430
longhouse_s930304_A	longhouse	930304	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2390	9630
longhouse_s930304_B	longhouse	930304	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2420	8160
longhouse_s930305_A	longhouse	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	111	0	340	740
longhouse_s930305_B	longhouse	930305	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	210	9530
midgard_s930303_A	midgard	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	93	0	460	670
midgard_s930303_B	midgard	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
midgard_s930304_A	midgard	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	89	0	430	630
midgard_s930304_B	midgard	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
midgard_s930305_A	midgard	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	93	0	460	680
midgard_s930305_B	midgard	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
paths_s930303_A	paths	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	317	0	280	1530
paths_s930303_B	paths	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	158	0	370	730
paths_s930304_A	paths	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	279	0	280	1330
paths_s930304_B	paths	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	168	0	120	780
paths_s930305_A	paths	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	268	0	500	1270
paths_s930305_B	paths	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	186	0	120	1390
skald_s930303_A	skald	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	0	1100
skald_s930303_B	skald	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	111	0	260	500
skald_s930304_A	skald	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	0	640
skald_s930304_B	skald	930304	B	US	_v623healweld	Core destroyed	161	0	390	480
skald_s930305_A	skald	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	0	1100
skald_s930305_B	skald	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	130	0	260	550
stavkirke_s930303_A	stavkirke	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	217	0	130	710
stavkirke_s930303_B	stavkirke	930303	B	OPP	_x3r0v168mjolnir	Core destroyed	149	0	0	0
stavkirke_s930304_A	stavkirke	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	230	570
stavkirke_s930304_B	stavkirke	930304	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	0	0
stavkirke_s930305_A	stavkirke	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	130	630
stavkirke_s930305_B	stavkirke	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	133	0	0	0
valkyrie_s930303_A	valkyrie	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	163	0	370	730
valkyrie_s930303_B	valkyrie	930303	B	US	_v623healweld	Core destroyed	141	0	860	590
valkyrie_s930304_A	valkyrie	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	145	0	560	850
valkyrie_s930304_B	valkyrie	930304	B	US	_v623healweld	Core destroyed	229	0	1410	530
valkyrie_s930305_A	valkyrie	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	178	0	210	1040
valkyrie_s930305_B	valkyrie	930305	B	OPP	_x3r0v168mjolnir	Core destroyed	229	0	1340	1390
yggdrasil_s930303_A	yggdrasil	930303	A	OPP	_x3r0v168mjolnir	Core destroyed	245	0	460	580
yggdrasil_s930303_B	yggdrasil	930303	B	US	_v623healweld	Core destroyed	286	0	680	160
yggdrasil_s930304_A	yggdrasil	930304	A	OPP	_x3r0v168mjolnir	Core destroyed	245	0	460	580
yggdrasil_s930304_B	yggdrasil	930304	B	US	_v623healweld	Core destroyed	368	0	890	730
yggdrasil_s930305_A	yggdrasil	930305	A	OPP	_x3r0v168mjolnir	Core destroyed	245	0	460	580
yggdrasil_s930305_B	yggdrasil	930305	B	US	_v623healweld	Core destroyed	229	0	540	510
