tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930315_A	auroraveil	930315	A	OPP	_x3r0v168mjolnir	Core destroyed	213	0	0	1060
auroraveil_s930315_B	auroraveil	930315	B	OPP	_x3r0v168mjolnir	Core destroyed	331	0	0	570
auroraveil_s930316_A	auroraveil	930316	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	0	1070
auroraveil_s930316_B	auroraveil	930316	B	OPP	_x3r0v168mjolnir	Core destroyed	319	0	0	2130
auroraveil_s930317_A	auroraveil	930317	A	OPP	_x3r0v168mjolnir	Core destroyed	129	0	0	430
auroraveil_s930317_B	auroraveil	930317	B	OPP	_x3r0v168mjolnir	Core destroyed	174	0	0	990
bifrost_s930315_A	bifrost	930315	A	OPP	_x3r0v168mjolnir	Core destroyed	170	0	110	780
bifrost_s930315_B	bifrost	930315	B	OPP	_x3r0v168mjolnir	Core destroyed	133	0	300	580
bifrost_s930316_A	bifrost	930316	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	100	780
bifrost_s930316_B	bifrost	930316	B	OPP	_x3r0v168mjolnir	Core destroyed	135	0	310	600
bifrost_s930317_A	bifrost	930317	A	OPP	_x3r0v168mjolnir	Core destroyed	176	0	160	800
bifrost_s930317_B	bifrost	930317	B	OPP	_x3r0v168mjolnir	Core destroyed	130	0	80	580
fimbulwinter_s930315_A	fimbulwinter	930315	A	US	ctrl_dup	Core destroyed	138	0	600	610
fimbulwinter_s930315_B	fimbulwinter	930315	B	US	ctrl_dup	Core destroyed	204	0	960	300
fimbulwinter_s930316_A	fimbulwinter	930316	A	OPP	_x3r0v168mjolnir	Core destroyed	282	0	1320	680
fimbulwinter_s930316_B	fimbulwinter	930316	B	US	ctrl_dup	Core destroyed	150	0	680	70
fimbulwinter_s930317_A	fimbulwinter	930317	A	OPP	_x3r0v168mjolnir	Core destroyed	420	0	1820	2010
