tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930300_A	auroraveil	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	258	0	0	770
auroraveil_s930300_B	auroraveil	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	389	0	0	440
auroraveil_s930301_A	auroraveil	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	238	0	0	1070
auroraveil_s930301_B	auroraveil	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	282	0	0	510
auroraveil_s930302_A	auroraveil	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	258	0	0	770
auroraveil_s930302_B	auroraveil	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	294	0	0	1390
bifrost_s930300_A	bifrost	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	100	740
bifrost_s930300_B	bifrost	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	133	0	300	580
bifrost_s930301_A	bifrost	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	155	0	110	680
bifrost_s930301_B	bifrost	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	146	0	340	670
bifrost_s930302_A	bifrost	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	209	0	160	960
bifrost_s930302_B	bifrost	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	137	0	80	620
fimbulwinter_s930300_A	fimbulwinter	930300	A	US	ctrl_dup	Core destroyed	209	0	960	950
fimbulwinter_s930300_B	fimbulwinter	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	189	0	880	500
fimbulwinter_s930301_A	fimbulwinter	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	289	0	460	410
fimbulwinter_s930301_B	fimbulwinter	930301	B	US	ctrl_dup	Core destroyed	204	0	960	300
fimbulwinter_s930302_A	fimbulwinter	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	211	0	440	970
fimbulwinter_s930302_B	fimbulwinter	930302	B	US	ctrl_dup	Core destroyed	153	0	700	100
glacierkeep_s930300_A	glacierkeep	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	181	0	10	590
glacierkeep_s930300_B	glacierkeep	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
glacierkeep_s930301_A	glacierkeep	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	173	0	140	560
glacierkeep_s930301_B	glacierkeep	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
glacierkeep_s930302_A	glacierkeep	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	181	0	10	590
glacierkeep_s930302_B	glacierkeep	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
helheim_s930300_A	helheim	930300	A	US	ctrl_dup	Core destroyed	392	0	970	1420
helheim_s930300_B	helheim	930300	B	US	ctrl_dup	Core destroyed	814	0	4000	350
helheim_s930301_A	helheim	930301	A	US	ctrl_dup	Core destroyed	366	0	900	1240
helheim_s930301_B	helheim	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	670	0	310	4100
helheim_s930302_A	helheim	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	212	0	410	1470
helheim_s930302_B	helheim	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
holmgang_s930300_A	holmgang	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	406	0	900	1950
holmgang_s930300_B	holmgang	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	531	0	1740	1690
holmgang_s930301_A	holmgang	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	130	0	290	590
holmgang_s930301_B	holmgang	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	213	0	260	150
holmgang_s930302_A	holmgang	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	252	0	600	1020
holmgang_s930302_B	holmgang	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	577	0	1900	1720
icefloe_s930300_A	icefloe	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	468	0	410	3840
icefloe_s930300_B	icefloe	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	222	0	0	1150
icefloe_s930301_A	icefloe	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	464	0	340	3080
icefloe_s930301_B	icefloe	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	364	0	0	5310
icefloe_s930302_A	icefloe	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	431	0	410	4470
icefloe_s930302_B	icefloe	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	518	0	0	7410
jotunheim_s930300_A	jotunheim	930300	A	US	ctrl_dup	Core destroyed	248	0	1000	0
jotunheim_s930300_B	jotunheim	930300	B	OPP	_x3r0v168mjolnir	Harvesters (tiebreak)	1000	0	0	0
jotunheim_s930301_A	jotunheim	930301	A	US	ctrl_dup	Core destroyed	232	0	510	0
jotunheim_s930301_B	jotunheim	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	311	0	0	260
jotunheim_s930302_A	jotunheim	930302	A	US	ctrl_dup	Titanium collected (tiebreak)	1000	0	100	0
jotunheim_s930302_B	jotunheim	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	505	0	290	0
longhouse_s930300_A	longhouse	930300	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2390	9630
longhouse_s930300_B	longhouse	930300	B	US	ctrl_dup	Core destroyed	677	0	1670	6030
longhouse_s930301_A	longhouse	930301	A	US	ctrl_dup	Core destroyed	644	0	1350	5240
longhouse_s930301_B	longhouse	930301	B	US	ctrl_dup	Core destroyed	234	0	610	1900
longhouse_s930302_A	longhouse	930302	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2140	8340
longhouse_s930302_B	longhouse	930302	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	190	8100
midgard_s930300_A	midgard	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	93	0	460	670
midgard_s930300_B	midgard	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
midgard_s930301_A	midgard	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	93	0	460	670
midgard_s930301_B	midgard	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
midgard_s930302_A	midgard	930302	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	91	0	440	670
midgard_s930302_B	midgard	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
paths_s930300_A	paths	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	197	0	410	1290
paths_s930300_B	paths	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	153	0	360	700
paths_s930301_A	paths	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	257	0	450	1220
paths_s930301_B	paths	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	186	0	120	1390
paths_s930302_A	paths	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	197	0	410	1290
paths_s930302_B	paths	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	184	0	410	1080
skald_s930300_A	skald	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	0	640
skald_s930300_B	skald	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	109	0	180	470
skald_s930301_A	skald	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	0	1150
skald_s930301_B	skald	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	111	0	260	500
skald_s930302_A	skald	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	0	1100
skald_s930302_B	skald	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	109	0	180	470
stavkirke_s930300_A	stavkirke	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	183	0	250	610
stavkirke_s930300_B	stavkirke	930300	B	OPP	_x3r0v168mjolnir	Core destroyed	149	0	0	0
stavkirke_s930301_A	stavkirke	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	130	630
stavkirke_s930301_B	stavkirke	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	133	0	0	0
stavkirke_s930302_A	stavkirke	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	172	0	130	630
stavkirke_s930302_B	stavkirke	930302	B	OPP	_x3r0v168mjolnir	Core destroyed	149	0	0	0
valkyrie_s930300_A	valkyrie	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	148	0	120	950
valkyrie_s930300_B	valkyrie	930300	B	US	ctrl_dup	Core destroyed	203	0	1310	1100
valkyrie_s930301_A	valkyrie	930301	A	OPP	_x3r0v168mjolnir	Core destroyed	117	0	310	700
valkyrie_s930301_B	valkyrie	930301	B	OPP	_x3r0v168mjolnir	Core destroyed	160	0	760	690
valkyrie_s930302_A	valkyrie	930302	A	OPP	_x3r0v168mjolnir	Core destroyed	160	0	660	1030
valkyrie_s930302_B	valkyrie	930302	B	US	ctrl_dup	Core destroyed	97	0	350	370
yggdrasil_s930300_A	yggdrasil	930300	A	OPP	_x3r0v168mjolnir	Core destroyed	245	0	460	580
yggdrasil_s930300_B	yggdrasil	930300	B	US	ctrl_dup	Core destroyed	196	0	460	170
