tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930412_A	auroraveil	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	262	0	0	1040
auroraveil_s930412_B	auroraveil	930412	B	OPP	_x3r0v168mjolnir	Core destroyed	199	0	0	940
auroraveil_s930413_A	auroraveil	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	0	1080
auroraveil_s930413_B	auroraveil	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	199	0	0	940
auroraveil_s930414_A	auroraveil	930414	A	OPP	_x3r0v168mjolnir	Core destroyed	229	0	0	800
auroraveil_s930414_B	auroraveil	930414	B	US	arm_c_full	Core destroyed	541	0	0	140
bifrost_s930412_A	bifrost	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	100	740
bifrost_s930412_B	bifrost	930412	B	OPP	_x3r0v168mjolnir	Core destroyed	135	0	80	610
bifrost_s930413_A	bifrost	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	166	0	100	760
bifrost_s930413_B	bifrost	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	121	0	270	530
bifrost_s930414_A	bifrost	930414	A	OPP	_x3r0v168mjolnir	Core destroyed	184	0	140	720
bifrost_s930414_B	bifrost	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	80	650
fimbulwinter_s930412_A	fimbulwinter	930412	A	US	arm_c_full	Core destroyed	220	0	1010	520
fimbulwinter_s930412_B	fimbulwinter	930412	B	US	arm_c_full	Core destroyed	137	0	620	170
fimbulwinter_s930413_A	fimbulwinter	930413	A	US	arm_c_full	Titanium collected (tiebreak)	1000	0	4580	470
fimbulwinter_s930413_B	fimbulwinter	930413	B	US	arm_c_full	Core destroyed	168	0	780	400
fimbulwinter_s930414_A	fimbulwinter	930414	A	US	arm_c_full	Core destroyed	220	0	1010	520
fimbulwinter_s930414_B	fimbulwinter	930414	B	US	arm_c_full	Core destroyed	258	0	1220	130
glacierkeep_s930412_A	glacierkeep	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	173	0	140	560
glacierkeep_s930412_B	glacierkeep	930412	B	OPP	_x3r0v168mjolnir	Core destroyed	450	0	0	540
glacierkeep_s930413_A	glacierkeep	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	173	0	140	560
glacierkeep_s930413_B	glacierkeep	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
glacierkeep_s930414_A	glacierkeep	930414	A	OPP	_x3r0v168mjolnir	Core destroyed	268	0	140	880
glacierkeep_s930414_B	glacierkeep	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	170	0	0	580
helheim_s930412_A	helheim	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930412_B	helheim	930412	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	200	1110
helheim_s930413_A	helheim	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	336	0	820	1840
helheim_s930413_B	helheim	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
helheim_s930414_A	helheim	930414	A	OPP	_x3r0v168mjolnir	Core destroyed	492	0	1210	2790
helheim_s930414_B	helheim	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	471	0	310	2610
holmgang_s930412_A	holmgang	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	203	0	270	480
holmgang_s930412_B	holmgang	930412	B	US	arm_c_full	Core destroyed	229	0	690	180
holmgang_s930413_A	holmgang	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	440	0	420	1410
holmgang_s930413_B	holmgang	930413	B	US	arm_c_full	Core destroyed	275	0	1310	660
holmgang_s930414_A	holmgang	930414	A	OPP	_x3r0v168mjolnir	Core destroyed	342	0	130	830
holmgang_s930414_B	holmgang	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	217	0	510	510
icefloe_s930412_A	icefloe	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	306	0	180	3000
icefloe_s930412_B	icefloe	930412	B	OPP	_x3r0v168mjolnir	Core destroyed	277	0	0	2150
icefloe_s930413_A	icefloe	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	244	0	370	1890
icefloe_s930413_B	icefloe	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	380	0	0	3890
icefloe_s930414_A	icefloe	930414	A	OPP	_x3r0v168mjolnir	Core destroyed	367	0	200	4170
icefloe_s930414_B	icefloe	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	252	0	0	1610
jotunheim_s930412_A	jotunheim	930412	A	US	arm_c_full	Core destroyed	224	0	1000	0
jotunheim_s930412_B	jotunheim	930412	B	US	arm_c_full	Core destroyed	301	0	0	0
jotunheim_s930413_A	jotunheim	930413	A	US	arm_c_full	Core destroyed	265	0	1310	0
jotunheim_s930413_B	jotunheim	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	721	0	0	0
jotunheim_s930414_A	jotunheim	930414	A	US	arm_c_full	Core destroyed	325	0	1500	0
jotunheim_s930414_B	jotunheim	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	401	0	0	590
longhouse_s930412_A	longhouse	930412	A	US	arm_c_full	Core destroyed	651	0	1520	5030
longhouse_s930412_B	longhouse	930412	B	US	arm_c_full	Core destroyed	534	0	1250	2520
longhouse_s930413_A	longhouse	930413	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	2390	9630
longhouse_s930413_B	longhouse	930413	B	OPP	_x3r0v168mjolnir	Core destroyed	190	0	340	1610
longhouse_s930414_A	longhouse	930414	A	US	arm_c_full	Core destroyed	249	0	510	2010
longhouse_s930414_B	longhouse	930414	B	OPP	_x3r0v168mjolnir	Core destroyed	190	0	340	1610
midgard_s930412_A	midgard	930412	A	OPP	_x3r0v168mjolnir	Core destroyed	86	0	410	610
midgard_s930412_B	midgard	930412	B	OPP	_x3r0v168mjolnir	Core destroyed	62	0	140	380
midgard_s930413_A	midgard	930413	A	OPP	_x3r0v168mjolnir	Core destroyed	89	0	430	630
