tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930612_A	auroraveil	930612	A	US	arm_c_full	Core destroyed	249	0	660	430
auroraveil_s930612_B	auroraveil	930612	B	OPP	_v542wave	Core destroyed	218	0	0	500
auroraveil_s930613_A	auroraveil	930613	A	US	arm_c_full	Core destroyed	307	0	1270	0
auroraveil_s930613_B	auroraveil	930613	B	OPP	_v542wave	Core destroyed	236	0	140	830
auroraveil_s930614_A	auroraveil	930614	A	OPP	_v542wave	Core destroyed	447	0	1680	2600
auroraveil_s930614_B	auroraveil	930614	B	OPP	_v542wave	Core destroyed	239	0	0	550
bifrost_s930612_A	bifrost	930612	A	US	arm_c_full	Core destroyed	535	0	1310	1230
bifrost_s930612_B	bifrost	930612	B	OPP	_v542wave	Core destroyed	278	0	580	1290
bifrost_s930613_A	bifrost	930613	A	OPP	_v542wave	Core destroyed	150	0	350	690
bifrost_s930613_B	bifrost	930613	B	US	arm_c_full	Core destroyed	237	0	360	470
bifrost_s930614_A	bifrost	930614	A	US	arm_c_full	Core destroyed	327	0	790	1020
bifrost_s930614_B	bifrost	930614	B	US	arm_c_full	Core destroyed	416	0	2230	2020
fimbulwinter_s930612_A	fimbulwinter	930612	A	US	arm_c_full	Core destroyed	122	0	520	420
fimbulwinter_s930612_B	fimbulwinter	930612	B	US	arm_c_full	Core destroyed	169	0	780	440
fimbulwinter_s930613_A	fimbulwinter	930613	A	US	arm_c_full	Core destroyed	213	0	980	200
fimbulwinter_s930613_B	fimbulwinter	930613	B	OPP	_v542wave	Core destroyed	486	0	2360	2310
fimbulwinter_s930614_A	fimbulwinter	930614	A	US	arm_c_full	Core destroyed	173	0	780	290
fimbulwinter_s930614_B	fimbulwinter	930614	B	US	arm_c_full	Core destroyed	201	0	940	910
glacierkeep_s930612_A	glacierkeep	930612	A	US	arm_c_full	Core destroyed	201	0	500	0
glacierkeep_s930612_B	glacierkeep	930612	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s930613_A	glacierkeep	930613	A	US	arm_c_full	Core destroyed	201	0	500	0
glacierkeep_s930613_B	glacierkeep	930613	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s930614_A	glacierkeep	930614	A	US	arm_c_full	Core destroyed	201	0	500	0
glacierkeep_s930614_B	glacierkeep	930614	B	OPP	_v542wave	Core destroyed	223	0	0	880
helheim_s930612_A	helheim	930612	A	US	arm_c_full	Core destroyed	238	0	980	910
helheim_s930612_B	helheim	930612	B	OPP	_v542wave	Core destroyed	374	0	420	1660
helheim_s930613_A	helheim	930613	A	OPP	_v542wave	Core destroyed	127	0	300	600
helheim_s930613_B	helheim	930613	B	OPP	_v542wave	Core destroyed	595	0	170	230
helheim_s930614_A	helheim	930614	A	OPP	_v542wave	Core destroyed	129	0	310	600
helheim_s930614_B	helheim	930614	B	OPP	_v542wave	Core destroyed	374	0	420	1660
holmgang_s930612_A	holmgang	930612	A	US	arm_c_full	Core destroyed	232	0	290	550
holmgang_s930612_B	holmgang	930612	B	OPP	_v542wave	Core destroyed	142	0	340	660
holmgang_s930613_A	holmgang	930613	A	US	arm_c_full	Core destroyed	265	0	570	1040
holmgang_s930613_B	holmgang	930613	B	OPP	_v542wave	Core destroyed	206	0	920	900
holmgang_s930614_A	holmgang	930614	A	OPP	_v542wave	Core destroyed	246	0	260	1560
holmgang_s930614_B	holmgang	930614	B	US	arm_c_full	Core destroyed	263	0	1160	60
icefloe_s930612_A	icefloe	930612	A	OPP	_v542wave	Core destroyed	121	0	110	530
icefloe_s930612_B	icefloe	930612	B	OPP	_v542wave	Core destroyed	408	0	0	3940
icefloe_s930613_A	icefloe	930613	A	OPP	_v542wave	Core destroyed	121	0	110	530
icefloe_s930613_B	icefloe	930613	B	OPP	_v542wave	Core destroyed	678	0	380	5640
icefloe_s930614_A	icefloe	930614	A	OPP	_v542wave	Core destroyed	121	0	110	530
icefloe_s930614_B	icefloe	930614	B	OPP	_v542wave	Core destroyed	246	0	0	630
