tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930615_A	auroraveil	930615	A	US	_v623healweld	Core destroyed	178	0	710	150
auroraveil_s930615_B	auroraveil	930615	B	OPP	_v542wave	Core destroyed	319	0	0	1030
auroraveil_s930616_A	auroraveil	930616	A	OPP	_v542wave	Core destroyed	744	0	1840	3040
auroraveil_s930616_B	auroraveil	930616	B	US	_v623healweld	Core destroyed	497	0	0	500
auroraveil_s930617_A	auroraveil	930617	A	OPP	_v542wave	Core destroyed	232	0	530	660
auroraveil_s930617_B	auroraveil	930617	B	OPP	_v542wave	Core destroyed	286	0	0	810
bifrost_s930615_A	bifrost	930615	A	OPP	_v542wave	Core destroyed	634	0	2350	3080
bifrost_s930615_B	bifrost	930615	B	US	_v623healweld	Titanium collected (tiebreak)	1000	0	2470	200
bifrost_s930616_A	bifrost	930616	A	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	2480	4940
bifrost_s930616_B	bifrost	930616	B	US	_v623healweld	Core destroyed	268	0	600	890
bifrost_s930617_A	bifrost	930617	A	OPP	_v542wave	Core destroyed	158	0	370	640
bifrost_s930617_B	bifrost	930617	B	OPP	_v542wave	Core destroyed	121	0	80	460
fimbulwinter_s930615_A	fimbulwinter	930615	A	US	_v623healweld	Core destroyed	484	0	2340	500
fimbulwinter_s930615_B	fimbulwinter	930615	B	US	_v623healweld	Core destroyed	137	0	620	210
fimbulwinter_s930616_A	fimbulwinter	930616	A	US	_v623healweld	Core destroyed	175	0	790	440
fimbulwinter_s930616_B	fimbulwinter	930616	B	OPP	_v542wave	Core destroyed	182	0	840	750
fimbulwinter_s930617_A	fimbulwinter	930617	A	US	_v623healweld	Core destroyed	196	0	900	780
fimbulwinter_s930617_B	fimbulwinter	930617	B	US	_v623healweld	Core destroyed	158	0	730	700
glacierkeep_s930615_A	glacierkeep	930615	A	US	_v623healweld	Core destroyed	201	0	500	0
glacierkeep_s930615_B	glacierkeep	930615	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s930616_A	glacierkeep	930616	A	US	_v623healweld	Core destroyed	201	0	500	0
glacierkeep_s930616_B	glacierkeep	930616	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s930617_A	glacierkeep	930617	A	US	_v623healweld	Core destroyed	201	0	500	0
glacierkeep_s930617_B	glacierkeep	930617	B	OPP	_v542wave	Core destroyed	223	0	0	880
helheim_s930615_A	helheim	930615	A	OPP	_v542wave	Core destroyed	214	0	1040	790
helheim_s930615_B	helheim	930615	B	OPP	_v542wave	Core destroyed	214	0	120	660
helheim_s930616_A	helheim	930616	A	OPP	_v542wave	Core destroyed	116	0	270	540
helheim_s930616_B	helheim	930616	B	OPP	_v542wave	Core destroyed	595	0	170	230
helheim_s930617_A	helheim	930617	A	OPP	_v542wave	Core destroyed	140	0	330	860
helheim_s930617_B	helheim	930617	B	OPP	_v542wave	Core destroyed	214	0	120	660
