tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930600_A	auroraveil	930600	A	US	_v623healweld	Core destroyed	185	0	520	180
auroraveil_s930600_B	auroraveil	930600	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	0	560
auroraveil_s930601_A	auroraveil	930601	A	US	_v623healweld	Core destroyed	178	0	710	150
auroraveil_s930601_B	auroraveil	930601	B	OPP	_v542wave	Core destroyed	240	0	0	550
auroraveil_s930602_A	auroraveil	930602	A	US	_v623healweld	Core destroyed	178	0	710	150
auroraveil_s930602_B	auroraveil	930602	B	OPP	_v542wave	Core destroyed	240	0	0	550
bifrost_s930600_A	bifrost	930600	A	US	_v623healweld	Core destroyed	277	0	670	1300
bifrost_s930600_B	bifrost	930600	B	US	_v623healweld	Core destroyed	237	0	360	470
bifrost_s930601_A	bifrost	930601	A	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	2480	4940
bifrost_s930601_B	bifrost	930601	B	OPP	_v542wave	Core destroyed	148	0	80	640
bifrost_s930602_A	bifrost	930602	A	OPP	_v542wave	Core destroyed	203	0	480	940
bifrost_s930602_B	bifrost	930602	B	OPP	_v542wave	Core destroyed	148	0	80	640
fimbulwinter_s930600_A	fimbulwinter	930600	A	US	_v623healweld	Core destroyed	210	0	960	440
fimbulwinter_s930600_B	fimbulwinter	930600	B	US	_v623healweld	Core destroyed	171	0	800	160
fimbulwinter_s930601_A	fimbulwinter	930601	A	US	_v623healweld	Core destroyed	175	0	790	440
fimbulwinter_s930601_B	fimbulwinter	930601	B	US	_v623healweld	Titanium collected (tiebreak)	1000	0	4940	4910
fimbulwinter_s930602_A	fimbulwinter	930602	A	US	_v623healweld	Core destroyed	148	0	660	340
fimbulwinter_s930602_B	fimbulwinter	930602	B	OPP	_v542wave	Core destroyed	116	0	520	500
glacierkeep_s930600_A	glacierkeep	930600	A	US	_v623healweld	Core destroyed	201	0	500	0
glacierkeep_s930600_B	glacierkeep	930600	B	OPP	_v542wave	Core destroyed	223	0	0	880
glacierkeep_s930601_A	glacierkeep	930601	A	US	_v623healweld	Core destroyed	201	0	500	0
glacierkeep_s930601_B	glacierkeep	930601	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s930602_A	glacierkeep	930602	A	US	_v623healweld	Core destroyed	201	0	500	0
glacierkeep_s930602_B	glacierkeep	930602	B	OPP	_v542wave	Core destroyed	176	0	0	580
helheim_s930600_A	helheim	930600	A	US	_v623healweld	Core destroyed	190	0	770	190
helheim_s930600_B	helheim	930600	B	OPP	_v542wave	Titanium collected (tiebreak)	1000	0	2920	7240
helheim_s930601_A	helheim	930601	A	OPP	_v542wave	Core destroyed	214	0	130	970
helheim_s930601_B	helheim	930601	B	OPP	_v542wave	Core destroyed	116	0	100	530
helheim_s930602_A	helheim	930602	A	OPP	_v542wave	Core destroyed	214	0	1040	790
helheim_s930602_B	helheim	930602	B	US	_v623healweld	Core destroyed	262	0	970	1260
holmgang_s930600_A	holmgang	930600	A	OPP	_v542wave	Core destroyed	248	0	0	1550
holmgang_s930600_B	holmgang	930600	B	OPP	_v542wave	Core destroyed	154	0	370	720
holmgang_s930601_A	holmgang	930601	A	OPP	_v542wave	Core destroyed	407	0	460	1210
holmgang_s930601_B	holmgang	930601	B	OPP	_v542wave	Core destroyed	638	0	990	4170
holmgang_s930602_A	holmgang	930602	A	OPP	_v542wave	Core destroyed	249	0	0	1560
holmgang_s930602_B	holmgang	930602	B	OPP	_v542wave	Core destroyed	165	0	250	420
icefloe_s930600_A	icefloe	930600	A	US	_v623healweld	Core destroyed	137	0	460	220
icefloe_s930600_B	icefloe	930600	B	OPP	_v542wave	Core destroyed	274	0	130	2350
icefloe_s930601_A	icefloe	930601	A	US	_v623healweld	Core destroyed	137	0	460	220
icefloe_s930601_B	icefloe	930601	B	OPP	_v542wave	Core destroyed	557	0	0	5100
icefloe_s930602_A	icefloe	930602	A	US	_v623healweld	Core destroyed	137	0	460	220
icefloe_s930602_B	icefloe	930602	B	OPP	_v542wave	Core destroyed	617	0	0	6190
jotunheim_s930600_A	jotunheim	930600	A	OPP	_v542wave	Core destroyed	550	0	130	400
jotunheim_s930600_B	jotunheim	930600	B	OPP	_v542wave	Core destroyed	229	0	0	40
jotunheim_s930601_A	jotunheim	930601	A	US	_v623healweld	Core destroyed	293	0	1190	0
jotunheim_s930601_B	jotunheim	930601	B	US	_v623healweld	Core destroyed	145	0	0	0
jotunheim_s930602_A	jotunheim	930602	A	US	_v623healweld	Core destroyed	313	0	200	0
jotunheim_s930602_B	jotunheim	930602	B	OPP	_v542wave	Core destroyed	229	0	0	40
longhouse_s930600_A	longhouse	930600	A	OPP	_v542wave	Core destroyed	134	0	60	840
longhouse_s930600_B	longhouse	930600	B	OPP	_v542wave	Core destroyed	204	0	60	880
longhouse_s930601_A	longhouse	930601	A	OPP	_v542wave	Core destroyed	139	0	100	750
