tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930512_A	auroraveil	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	265	0	0	790
auroraveil_s930512_B	auroraveil	930512	B	OPP	_x3r0v168mjolnir	Core destroyed	249	0	0	580
auroraveil_s930513_A	auroraveil	930513	A	OPP	_x3r0v168mjolnir	Core destroyed	171	0	0	880
auroraveil_s930513_B	auroraveil	930513	B	OPP	_x3r0v168mjolnir	Core destroyed	319	0	0	2130
auroraveil_s930514_A	auroraveil	930514	A	OPP	_x3r0v168mjolnir	Core destroyed	230	0	0	1090
auroraveil_s930514_B	auroraveil	930514	B	OPP	_x3r0v168mjolnir	Core destroyed	174	0	0	990
bifrost_s930512_A	bifrost	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	168	0	100	760
bifrost_s930512_B	bifrost	930512	B	OPP	_x3r0v168mjolnir	Core destroyed	131	0	80	590
bifrost_s930513_A	bifrost	930513	A	OPP	_x3r0v168mjolnir	Core destroyed	168	0	100	760
bifrost_s930513_B	bifrost	930513	B	OPP	_x3r0v168mjolnir	Core destroyed	129	0	290	590
bifrost_s930514_A	bifrost	930514	A	OPP	_x3r0v168mjolnir	Core destroyed	155	0	110	680
bifrost_s930514_B	bifrost	930514	B	OPP	_x3r0v168mjolnir	Core destroyed	137	0	80	620
fimbulwinter_s930512_A	fimbulwinter	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	403	0	1740	1920
fimbulwinter_s930512_B	fimbulwinter	930512	B	US	_v623healweld	Core destroyed	165	0	760	180
fimbulwinter_s930513_A	fimbulwinter	930513	A	OPP	_x3r0v168mjolnir	Core destroyed	282	0	1320	680
fimbulwinter_s930513_B	fimbulwinter	930513	B	OPP	_x3r0v168mjolnir	Core destroyed	247	0	1160	400
fimbulwinter_s930514_A	fimbulwinter	930514	A	US	_v623healweld	Core destroyed	131	0	570	530
fimbulwinter_s930514_B	fimbulwinter	930514	B	US	_v623healweld	Core destroyed	160	0	740	0
glacierkeep_s930512_A	glacierkeep	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	253	0	140	820
glacierkeep_s930512_B	glacierkeep	930512	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
glacierkeep_s930513_A	glacierkeep	930513	A	OPP	_x3r0v168mjolnir	Core destroyed	312	0	140	1160
glacierkeep_s930513_B	glacierkeep	930513	B	OPP	_x3r0v168mjolnir	Core destroyed	391	0	0	820
glacierkeep_s930514_A	glacierkeep	930514	A	OPP	_x3r0v168mjolnir	Core destroyed	669	0	130	2670
glacierkeep_s930514_B	glacierkeep	930514	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
helheim_s930512_A	helheim	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930512_B	helheim	930512	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	310	6520
helheim_s930513_A	helheim	930513	A	US	_v623healweld	Core destroyed	372	0	920	1270
helheim_s930513_B	helheim	930513	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
helheim_s930514_A	helheim	930514	A	OPP	_x3r0v168mjolnir	Core destroyed	212	0	410	1470
helheim_s930514_B	helheim	930514	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	760	6590
holmgang_s930512_A	holmgang	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	325	0	490	950
holmgang_s930512_B	holmgang	930512	B	OPP	_x3r0v168mjolnir	Core destroyed	575	0	2110	1670
holmgang_s930513_A	holmgang	930513	A	OPP	_x3r0v168mjolnir	Core destroyed	193	0	450	460
holmgang_s930513_B	holmgang	930513	B	US	_v623healweld	Core destroyed	133	0	260	510
holmgang_s930514_A	holmgang	930514	A	OPP	_x3r0v168mjolnir	Core destroyed	468	0	1000	580
holmgang_s930514_B	holmgang	930514	B	US	_v623healweld	Core destroyed	171	0	790	390
icefloe_s930512_A	icefloe	930512	A	OPP	_x3r0v168mjolnir	Core destroyed	572	0	340	4260
icefloe_s930512_B	icefloe	930512	B	OPP	_x3r0v168mjolnir	Core destroyed	380	0	0	3380
icefloe_s930513_A	icefloe	930513	A	OPP	_x3r0v168mjolnir	Core destroyed	161	0	400	980
icefloe_s930513_B	icefloe	930513	B	OPP	_x3r0v168mjolnir	Core destroyed	169	0	0	820
icefloe_s930514_A	icefloe	930514	A	OPP	_x3r0v168mjolnir	Core destroyed	464	0	340	3080
icefloe_s930514_B	icefloe	930514	B	OPP	_x3r0v168mjolnir	Core destroyed	213	0	0	970
jotunheim_s930512_A	jotunheim	930512	A	US	_v623healweld	Core destroyed	248	0	1000	0
jotunheim_s930512_B	jotunheim	930512	B	US	_v623healweld	Core destroyed	421	0	0	0
jotunheim_s930513_A	jotunheim	930513	A	US	_v623healweld	Core destroyed	232	0	510	0
jotunheim_s930513_B	jotunheim	930513	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	0	240
jotunheim_s930514_A	jotunheim	930514	A	US	_v623healweld	Titanium collected (tiebreak)	1000	0	100	0
jotunheim_s930514_B	jotunheim	930514	B	US	_v623healweld	Core destroyed	421	0	0	0
longhouse_s930512_A	longhouse	930512	A	US	_v623healweld	Core destroyed	1000	0	2390	7960
