tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930521_A	auroraveil	930521	A	OPP	_x3r0v168mjolnir	Core destroyed	229	0	0	800
auroraveil_s930521_B	auroraveil	930521	B	OPP	_x3r0v168mjolnir	Core destroyed	303	0	0	610
auroraveil_s930522_A	auroraveil	930522	A	OPP	_x3r0v168mjolnir	Core destroyed	157	0	0	890
auroraveil_s930522_B	auroraveil	930522	B	OPP	_x3r0v168mjolnir	Core destroyed	174	0	0	990
auroraveil_s930523_A	auroraveil	930523	A	OPP	_x3r0v168mjolnir	Core destroyed	239	0	0	800
auroraveil_s930523_B	auroraveil	930523	B	OPP	_x3r0v168mjolnir	Core destroyed	249	0	0	580
bifrost_s930521_A	bifrost	930521	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	100	840
bifrost_s930521_B	bifrost	930521	B	OPP	_x3r0v168mjolnir	Core destroyed	133	0	300	580
bifrost_s930522_A	bifrost	930522	A	OPP	_x3r0v168mjolnir	Core destroyed	196	0	100	910
bifrost_s930522_B	bifrost	930522	B	OPP	_x3r0v168mjolnir	Core destroyed	137	0	80	620
bifrost_s930523_A	bifrost	930523	A	OPP	_x3r0v168mjolnir	Core destroyed	169	0	100	770
bifrost_s930523_B	bifrost	930523	B	OPP	_x3r0v168mjolnir	Core destroyed	133	0	300	580
fimbulwinter_s930521_A	fimbulwinter	930521	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	4910	6770
fimbulwinter_s930521_B	fimbulwinter	930521	B	OPP	_x3r0v168mjolnir	Core destroyed	189	0	880	500
fimbulwinter_s930522_A	fimbulwinter	930522	A	US	ctrl_dup	Core destroyed	138	0	600	610
fimbulwinter_s930522_B	fimbulwinter	930522	B	OPP	_x3r0v168mjolnir	Core destroyed	158	0	720	570
fimbulwinter_s930523_A	fimbulwinter	930523	A	US	ctrl_dup	Core destroyed	130	0	560	300
fimbulwinter_s930523_B	fimbulwinter	930523	B	US	ctrl_dup	Core destroyed	160	0	740	0
glacierkeep_s930521_A	glacierkeep	930521	A	OPP	_x3r0v168mjolnir	Core destroyed	314	0	140	960
glacierkeep_s930521_B	glacierkeep	930521	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
glacierkeep_s930522_A	glacierkeep	930522	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	140	2830
glacierkeep_s930522_B	glacierkeep	930522	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
glacierkeep_s930523_A	glacierkeep	930523	A	OPP	_x3r0v168mjolnir	Core destroyed	181	0	10	590
glacierkeep_s930523_B	glacierkeep	930523	B	OPP	_x3r0v168mjolnir	Core destroyed	170	0	0	580
helheim_s930521_A	helheim	930521	A	US	ctrl_dup	Core destroyed	392	0	970	1420
helheim_s930521_B	helheim	930521	B	OPP	_x3r0v168mjolnir	Core destroyed	123	0	190	830
helheim_s930522_A	helheim	930522	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930522_B	helheim	930522	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
helheim_s930523_A	helheim	930523	A	OPP	_x3r0v168mjolnir	Core destroyed	215	0	410	1490
