tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930527_A	auroraveil	930527	A	OPP	_x3r0v168mjolnir	Core destroyed	127	0	0	410
auroraveil_s930527_B	auroraveil	930527	B	OPP	_x3r0v168mjolnir	Core destroyed	235	0	0	970
auroraveil_s930528_A	auroraveil	930528	A	OPP	_x3r0v168mjolnir	Core destroyed	127	0	0	410
auroraveil_s930528_B	auroraveil	930528	B	OPP	_x3r0v168mjolnir	Core destroyed	247	0	0	870
auroraveil_s930529_A	auroraveil	930529	A	OPP	_x3r0v168mjolnir	Core destroyed	337	0	0	650
auroraveil_s930529_B	auroraveil	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	170	0	0	510
bifrost_s930527_A	bifrost	930527	A	OPP	_x3r0v168mjolnir	Core destroyed	190	0	160	870
bifrost_s930527_B	bifrost	930527	B	OPP	_x3r0v168mjolnir	Core destroyed	135	0	80	610
bifrost_s930528_A	bifrost	930528	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	110	750
bifrost_s930528_B	bifrost	930528	B	OPP	_x3r0v168mjolnir	Core destroyed	157	0	80	720
bifrost_s930529_A	bifrost	930529	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	100	840
bifrost_s930529_B	bifrost	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	125	0	280	550
fimbulwinter_s930527_A	fimbulwinter	930527	A	US	arm_c_full	Core destroyed	136	0	590	520
fimbulwinter_s930527_B	fimbulwinter	930527	B	US	arm_c_full	Core destroyed	258	0	1220	130
fimbulwinter_s930528_A	fimbulwinter	930528	A	US	arm_c_full	Core destroyed	136	0	590	520
fimbulwinter_s930528_B	fimbulwinter	930528	B	US	arm_c_full	Core destroyed	120	0	540	0
fimbulwinter_s930529_A	fimbulwinter	930529	A	US	arm_c_full	Core destroyed	220	0	1010	520
fimbulwinter_s930529_B	fimbulwinter	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	345	0	1660	110
glacierkeep_s930527_A	glacierkeep	930527	A	OPP	_x3r0v168mjolnir	Core destroyed	268	0	140	880
glacierkeep_s930527_B	glacierkeep	930527	B	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	0	670
glacierkeep_s930528_A	glacierkeep	930528	A	OPP	_x3r0v168mjolnir	Core destroyed	268	0	140	880
glacierkeep_s930528_B	glacierkeep	930528	B	OPP	_x3r0v168mjolnir	Core destroyed	219	0	0	990
glacierkeep_s930529_A	glacierkeep	930529	A	OPP	_x3r0v168mjolnir	Core destroyed	268	0	140	880
glacierkeep_s930529_B	glacierkeep	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
helheim_s930527_A	helheim	930527	A	OPP	_x3r0v168mjolnir	Core destroyed	402	0	990	1940
helheim_s930527_B	helheim	930527	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	200	1110
helheim_s930528_A	helheim	930528	A	OPP	_x3r0v168mjolnir	Core destroyed	154	0	370	560
helheim_s930528_B	helheim	930528	B	OPP	_x3r0v168mjolnir	Core destroyed	207	0	970	500
helheim_s930529_A	helheim	930529	A	OPP	_x3r0v168mjolnir	Core destroyed	358	0	880	1760
helheim_s930529_B	helheim	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	544	0	310	3170
holmgang_s930527_A	holmgang	930527	A	OPP	_x3r0v168mjolnir	Core destroyed	203	0	270	480
holmgang_s930527_B	holmgang	930527	B	US	arm_c_full	Core destroyed	229	0	690	180
holmgang_s930528_A	holmgang	930528	A	OPP	_x3r0v168mjolnir	Core destroyed	149	0	340	450
holmgang_s930528_B	holmgang	930528	B	US	arm_c_full	Core destroyed	164	0	690	140
holmgang_s930529_A	holmgang	930529	A	OPP	_x3r0v168mjolnir	Core destroyed	438	0	990	2020
holmgang_s930529_B	holmgang	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	217	0	510	510
icefloe_s930527_A	icefloe	930527	A	OPP	_x3r0v168mjolnir	Core destroyed	317	0	620	3400
icefloe_s930527_B	icefloe	930527	B	OPP	_x3r0v168mjolnir	Core destroyed	332	0	0	3450
icefloe_s930528_A	icefloe	930528	A	OPP	_x3r0v168mjolnir	Core destroyed	368	0	170	4610
icefloe_s930528_B	icefloe	930528	B	OPP	_x3r0v168mjolnir	Core destroyed	323	0	0	3560
icefloe_s930529_A	icefloe	930529	A	OPP	_x3r0v168mjolnir	Core destroyed	257	0	180	2150
icefloe_s930529_B	icefloe	930529	B	OPP	_x3r0v168mjolnir	Core destroyed	669	0	0	3520
