tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930727_A	auroraveil	930727	A	OPP	_x3r0v168mjolnir	Core destroyed	171	0	0	1000
auroraveil_s930727_B	auroraveil	930727	B	OPP	_x3r0v168mjolnir	Core destroyed	208	0	0	830
auroraveil_s930728_A	auroraveil	930728	A	OPP	_x3r0v168mjolnir	Core destroyed	182	0	0	1080
auroraveil_s930728_B	auroraveil	930728	B	OPP	_x3r0v168mjolnir	Core destroyed	260	0	0	920
auroraveil_s930729_A	auroraveil	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	193	0	0	1130
auroraveil_s930729_B	auroraveil	930729	B	OPP	_x3r0v168mjolnir	Core destroyed	294	0	0	1390
bifrost_s930727_A	bifrost	930727	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	110	750
bifrost_s930727_B	bifrost	930727	B	OPP	_x3r0v168mjolnir	Core destroyed	161	0	80	650
bifrost_s930728_A	bifrost	930728	A	OPP	_x3r0v168mjolnir	Core destroyed	171	0	110	770
bifrost_s930728_B	bifrost	930728	B	OPP	_x3r0v168mjolnir	Core destroyed	135	0	310	610
bifrost_s930729_A	bifrost	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	186	0	120	850
bifrost_s930729_B	bifrost	930729	B	OPP	_x3r0v168mjolnir	Core destroyed	157	0	80	720
fimbulwinter_s930727_A	fimbulwinter	930727	A	US	arm_d_full	Core destroyed	460	0	2210	640
fimbulwinter_s930727_B	fimbulwinter	930727	B	OPP	_x3r0v168mjolnir	Core destroyed	185	0	860	750
fimbulwinter_s930728_A	fimbulwinter	930728	A	US	arm_d_full	Core destroyed	460	0	2210	640
fimbulwinter_s930728_B	fimbulwinter	930728	B	US	arm_d_full	Core destroyed	137	0	620	270
fimbulwinter_s930729_A	fimbulwinter	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	292	0	600	1370
fimbulwinter_s930729_B	fimbulwinter	930729	B	US	arm_d_full	Core destroyed	153	0	700	100
glacierkeep_s930727_A	glacierkeep	930727	A	OPP	_x3r0v168mjolnir	Core destroyed	194	0	110	660
glacierkeep_s930727_B	glacierkeep	930727	B	OPP	_x3r0v168mjolnir	Core destroyed	170	0	0	580
glacierkeep_s930728_A	glacierkeep	930728	A	OPP	_x3r0v168mjolnir	Core destroyed	268	0	140	880
glacierkeep_s930728_B	glacierkeep	930728	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	900
glacierkeep_s930729_A	glacierkeep	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	333	0	130	810
glacierkeep_s930729_B	glacierkeep	930729	B	OPP	_x3r0v168mjolnir	Core destroyed	233	0	0	890
helheim_s930727_A	helheim	930727	A	US	arm_d_full	Core destroyed	285	0	700	980
helheim_s930727_B	helheim	930727	B	OPP	_x3r0v168mjolnir	Core destroyed	301	0	310	1330
helheim_s930728_A	helheim	930728	A	US	arm_d_full	Core destroyed	716	0	1780	4570
helheim_s930728_B	helheim	930728	B	OPP	_x3r0v168mjolnir	Core destroyed	128	0	260	570
helheim_s930729_A	helheim	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	184	0	500	1280
helheim_s930729_B	helheim	930729	B	OPP	_x3r0v168mjolnir	Core destroyed	301	0	310	1330
holmgang_s930727_A	holmgang	930727	A	OPP	_x3r0v168mjolnir	Titanium collected (tiebreak)	1000	0	130	1680
holmgang_s930727_B	holmgang	930727	B	US	arm_d_full	Core destroyed	231	0	690	180
holmgang_s930728_A	holmgang	930728	A	OPP	_x3r0v168mjolnir	Core destroyed	157	0	360	620
holmgang_s930728_B	holmgang	930728	B	US	arm_d_full	Core destroyed	275	0	1310	660
holmgang_s930729_A	holmgang	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	407	0	590	1250
holmgang_s930729_B	holmgang	930729	B	US	arm_d_full	Core destroyed	164	0	690	140
icefloe_s930727_A	icefloe	930727	A	OPP	_x3r0v168mjolnir	Core destroyed	546	0	1180	5200
icefloe_s930727_B	icefloe	930727	B	OPP	_x3r0v168mjolnir	Core destroyed	380	0	0	4050
icefloe_s930728_A	icefloe	930728	A	OPP	_x3r0v168mjolnir	Core destroyed	386	0	200	3980
icefloe_s930728_B	icefloe	930728	B	OPP	_x3r0v168mjolnir	Core destroyed	253	0	0	1970
icefloe_s930729_A	icefloe	930729	A	OPP	_x3r0v168mjolnir	Core destroyed	336	0	160	4550
icefloe_s930729_B	icefloe	930729	B	OPP	_x3r0v168mjolnir	Core destroyed	266	0	0	1750
jotunheim_s930727_A	jotunheim	930727	A	US	arm_d_full	Core destroyed	238	0	570	0
