tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930700_A	auroraveil	930700	A	OPP	_x3r0v168mjolnir	Core destroyed	171	0	0	1000
auroraveil_s930700_B	auroraveil	930700	B	OPP	_x3r0v168mjolnir	Core destroyed	260	0	0	920
auroraveil_s930701_A	auroraveil	930701	A	OPP	_x3r0v168mjolnir	Core destroyed	297	0	0	1710
auroraveil_s930701_B	auroraveil	930701	B	OPP	_x3r0v168mjolnir	Core destroyed	247	0	0	870
auroraveil_s930702_A	auroraveil	930702	A	OPP	_x3r0v168mjolnir	Core destroyed	249	0	0	850
auroraveil_s930702_B	auroraveil	930702	B	OPP	_x3r0v168mjolnir	Core destroyed	294	0	0	1390
bifrost_s930700_A	bifrost	930700	A	OPP	_x3r0v168mjolnir	Core destroyed	164	0	100	740
bifrost_s930700_B	bifrost	930700	B	OPP	_x3r0v168mjolnir	Core destroyed	157	0	80	720
bifrost_s930701_A	bifrost	930701	A	OPP	_x3r0v168mjolnir	Core destroyed	206	0	160	930
bifrost_s930701_B	bifrost	930701	B	OPP	_x3r0v168mjolnir	Core destroyed	122	0	280	550
bifrost_s930702_A	bifrost	930702	A	OPP	_x3r0v168mjolnir	Core destroyed	167	0	100	760
bifrost_s930702_B	bifrost	930702	B	OPP	_x3r0v168mjolnir	Core destroyed	140	0	320	640
fimbulwinter_s930700_A	fimbulwinter	930700	A	US	arm_d_full	Core destroyed	621	0	3020	1170
fimbulwinter_s930700_B	fimbulwinter	930700	B	US	arm_d_full	Core destroyed	168	0	780	400
fimbulwinter_s930701_A	fimbulwinter	930701	A	US	arm_d_full	Core destroyed	212	0	970	830
fimbulwinter_s930701_B	fimbulwinter	930701	B	US	arm_d_full	Core destroyed	265	0	1260	410
fimbulwinter_s930702_A	fimbulwinter	930702	A	US	arm_d_full	Core destroyed	321	0	1520	890
fimbulwinter_s930702_B	fimbulwinter	930702	B	US	arm_d_full	Core destroyed	168	0	780	400
glacierkeep_s930700_A	glacierkeep	930700	A	OPP	_x3r0v168mjolnir	Core destroyed	333	0	130	810
glacierkeep_s930700_B	glacierkeep	930700	B	OPP	_x3r0v168mjolnir	Core destroyed	450	0	0	540
