tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930800_A	auroraveil	930800	A	OPP	_v542wave	Core destroyed	665	0	1990	4050
auroraveil_s930800_B	auroraveil	930800	B	US	arm_c_full	Core destroyed	465	0	0	230
auroraveil_s930801_A	auroraveil	930801	A	US	arm_c_full	Core destroyed	273	0	640	620
auroraveil_s930801_B	auroraveil	930801	B	OPP	_v542wave	Core destroyed	239	0	0	550
auroraveil_s930802_A	auroraveil	930802	A	OPP	_v542wave	Core destroyed	443	0	1060	1880
auroraveil_s930802_B	auroraveil	930802	B	OPP	_v542wave	Core destroyed	248	0	130	720
bifrost_s930800_A	bifrost	930800	A	OPP	_v542wave	Core destroyed	634	0	2350	3080
bifrost_s930800_B	bifrost	930800	B	US	arm_c_full	Core destroyed	237	0	360	470
bifrost_s930801_A	bifrost	930801	A	OPP	_v542wave	Core destroyed	208	0	490	680
bifrost_s930801_B	bifrost	930801	B	US	arm_c_full	Core destroyed	337	0	580	550
bifrost_s930802_A	bifrost	930802	A	US	arm_c_full	Core destroyed	510	0	1630	2450
bifrost_s930802_B	bifrost	930802	B	US	arm_c_full	Core destroyed	379	0	2070	1200
fimbulwinter_s930800_A	fimbulwinter	930800	A	US	arm_c_full	Core destroyed	122	0	520	420
fimbulwinter_s930800_B	fimbulwinter	930800	B	US	arm_c_full	Core destroyed	117	0	520	270
fimbulwinter_s930801_A	fimbulwinter	930801	A	US	arm_c_full	Core destroyed	166	0	500	390
fimbulwinter_s930801_B	fimbulwinter	930801	B	OPP	_v542wave	Core destroyed	486	0	2360	2310
fimbulwinter_s930802_A	fimbulwinter	930802	A	US	arm_c_full	Core destroyed	166	0	500	390
fimbulwinter_s930802_B	fimbulwinter	930802	B	US	arm_c_full	Core destroyed	161	0	740	250
glacierkeep_s930800_A	glacierkeep	930800	A	US	arm_c_full	Core destroyed	201	0	500	0
