tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930809_A	auroraveil	930809	A	US	dup628	Core destroyed	307	0	1270	0
auroraveil_s930809_B	auroraveil	930809	B	OPP	_v542wave	Core destroyed	236	0	140	830
auroraveil_s930810_A	auroraveil	930810	A	US	dup628	Core destroyed	150	0	520	150
auroraveil_s930810_B	auroraveil	930810	B	US	dup628	Core destroyed	513	0	1260	1230
auroraveil_s930811_A	auroraveil	930811	A	US	dup628	Core destroyed	150	0	520	150
auroraveil_s930811_B	auroraveil	930811	B	OPP	_v542wave	Core destroyed	236	0	140	830
bifrost_s930809_A	bifrost	930809	A	OPP	_v542wave	Core destroyed	448	0	1550	2150
bifrost_s930809_B	bifrost	930809	B	US	dup628	Core destroyed	454	0	4780	410
bifrost_s930810_A	bifrost	930810	A	OPP	_v542wave	Core destroyed	158	0	370	600
bifrost_s930810_B	bifrost	930810	B	US	dup628	Core destroyed	338	0	820	210
bifrost_s930811_A	bifrost	930811	A	OPP	_v542wave	Core destroyed	227	0	540	1060
bifrost_s930811_B	bifrost	930811	B	US	dup628	Core destroyed	337	0	580	550
fimbulwinter_s930809_A	fimbulwinter	930809	A	US	dup628	Core destroyed	134	0	580	310
fimbulwinter_s930809_B	fimbulwinter	930809	B	US	dup628	Core destroyed	157	0	720	700
fimbulwinter_s930810_A	fimbulwinter	930810	A	US	dup628	Core destroyed	484	0	2340	500
fimbulwinter_s930810_B	fimbulwinter	930810	B	OPP	_v542wave	Core destroyed	116	0	520	500
fimbulwinter_s930811_A	fimbulwinter	930811	A	US	dup628	Core destroyed	153	0	680	530
fimbulwinter_s930811_B	fimbulwinter	930811	B	US	dup628	Core destroyed	166	0	770	740
glacierkeep_s930809_A	glacierkeep	930809	A	US	dup628	Core destroyed	201	0	500	0
glacierkeep_s930809_B	glacierkeep	930809	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s930810_A	glacierkeep	930810	A	US	dup628	Core destroyed	201	0	500	0
