tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
auroraveil_s930800_A	auroraveil	930800	A	OPP	_v542wave	Core destroyed	133	0	390	320
auroraveil_s930800_B	auroraveil	930800	B	OPP	_v542wave	Core destroyed	218	0	0	500
auroraveil_s930801_A	auroraveil	930801	A	US	dup628	Core destroyed	273	0	640	620
auroraveil_s930801_B	auroraveil	930801	B	OPP	_v542wave	Core destroyed	348	0	0	200
auroraveil_s930802_A	auroraveil	930802	A	US	dup628	Core destroyed	150	0	520	150
auroraveil_s930802_B	auroraveil	930802	B	OPP	_v542wave	Core destroyed	248	0	130	720
bifrost_s930800_A	bifrost	930800	A	OPP	_v542wave	Core destroyed	169	0	400	780
bifrost_s930800_B	bifrost	930800	B	OPP	_v542wave	Core destroyed	106	0	80	470
bifrost_s930801_A	bifrost	930801	A	US	dup628	Core destroyed	535	0	1310	1230
bifrost_s930801_B	bifrost	930801	B	OPP	_v542wave	Core destroyed	278	0	580	1290
bifrost_s930802_A	bifrost	930802	A	OPP	_v542wave	Core destroyed	203	0	480	940
bifrost_s930802_B	bifrost	930802	B	OPP	_v542wave	Core destroyed	283	0	550	1330
fimbulwinter_s930800_A	fimbulwinter	930800	A	US	dup628	Core destroyed	213	0	980	200
fimbulwinter_s930800_B	fimbulwinter	930800	B	OPP	_v542wave	Core destroyed	116	0	520	500
fimbulwinter_s930801_A	fimbulwinter	930801	A	US	dup628	Core destroyed	116	0	500	260
fimbulwinter_s930801_B	fimbulwinter	930801	B	US	dup628	Core destroyed	166	0	770	740
fimbulwinter_s930802_A	fimbulwinter	930802	A	US	dup628	Core destroyed	217	0	1000	520
fimbulwinter_s930802_B	fimbulwinter	930802	B	US	dup628	Core destroyed	166	0	770	740
glacierkeep_s930800_A	glacierkeep	930800	A	US	dup628	Core destroyed	201	0	500	0
glacierkeep_s930800_B	glacierkeep	930800	B	OPP	_v542wave	Core destroyed	176	0	0	580
glacierkeep_s930801_A	glacierkeep	930801	A	US	dup628	Core destroyed	201	0	500	0
glacierkeep_s930801_B	glacierkeep	930801	B	OPP	_v542wave	Core destroyed	191	0	0	480
glacierkeep_s930802_A	glacierkeep	930802	A	US	dup628	Core destroyed	201	0	500	0
glacierkeep_s930802_B	glacierkeep	930802	B	OPP	_v542wave	Core destroyed	223	0	0	880
helheim_s930800_A	helheim	930800	A	OPP	_v542wave	Core destroyed	127	0	300	600
helheim_s930800_B	helheim	930800	B	US	dup628	Titanium collected (tiebreak)	1000	0	4610	1820
helheim_s930801_A	helheim	930801	A	US	dup628	Core destroyed	238	0	980	910
helheim_s930801_B	helheim	930801	B	OPP	_v542wave	Core destroyed	307	0	1730	1500
helheim_s930802_A	helheim	930802	A	OPP	_v542wave	Core destroyed	171	0	410	720
helheim_s930802_B	helheim	930802	B	OPP	_v542wave	Core destroyed	265	0	90	420
holmgang_s930800_A	holmgang	930800	A	OPP	_v542wave	Core destroyed	149	0	0	700
holmgang_s930800_B	holmgang	930800	B	US	dup628	Core destroyed	353	0	1690	910
holmgang_s930801_A	holmgang	930801	A	OPP	_v542wave	Core destroyed	198	0	160	940
holmgang_s930801_B	holmgang	930801	B	US	dup628	Core destroyed	73	0	230	170
holmgang_s930802_A	holmgang	930802	A	OPP	_v542wave	Core destroyed	180	0	230	860
holmgang_s930802_B	holmgang	930802	B	OPP	_v542wave	Core destroyed	242	0	360	1160
icefloe_s930800_A	icefloe	930800	A	OPP	_v542wave	Core destroyed	121	0	110	530
icefloe_s930800_B	icefloe	930800	B	OPP	_v542wave	Core destroyed	595	0	0	4790
icefloe_s930801_A	icefloe	930801	A	OPP	_v542wave	Core destroyed	121	0	110	530
icefloe_s930801_B	icefloe	930801	B	OPP	_v542wave	Core destroyed	793	0	0	780
icefloe_s930802_A	icefloe	930802	A	OPP	_v542wave	Core destroyed	121	0	110	530
icefloe_s930802_B	icefloe	930802	B	OPP	_v542wave	Core destroyed	663	0	0	5810
jotunheim_s930800_A	jotunheim	930800	A	US	dup628	Core destroyed	533	0	110	0
jotunheim_s930800_B	jotunheim	930800	B	US	dup628	Core destroyed	145	0	0	0
jotunheim_s930801_A	jotunheim	930801	A	US	dup628	Core destroyed	533	0	110	0
jotunheim_s930801_B	jotunheim	930801	B	US	dup628	Core destroyed	222	0	1080	150
jotunheim_s930802_A	jotunheim	930802	A	US	dup628	Core destroyed	272	0	960	0
jotunheim_s930802_B	jotunheim	930802	B	OPP	_v542wave	Core destroyed	269	0	0	0
longhouse_s930800_A	longhouse	930800	A	OPP	_v542wave	Core destroyed	298	0	40	360
longhouse_s930800_B	longhouse	930800	B	OPP	_v542wave	Core destroyed	127	0	120	640
longhouse_s930801_A	longhouse	930801	A	OPP	_v542wave	Core destroyed	134	0	60	840
longhouse_s930801_B	longhouse	930801	B	US	dup628	Core destroyed	159	0	700	660
longhouse_s930802_A	longhouse	930802	A	OPP	_v542wave	Core destroyed	142	0	200	790
longhouse_s930802_B	longhouse	930802	B	OPP	_v542wave	Core destroyed	142	0	610	710
midgard_s930800_A	midgard	930800	A	OPP	_v542wave	Core destroyed	96	0	340	910
midgard_s930800_B	midgard	930800	B	OPP	_v542wave	Core destroyed	84	0	370	680
midgard_s930801_A	midgard	930801	A	OPP	_v542wave	Core destroyed	96	0	340	910
midgard_s930801_B	midgard	930801	B	OPP	_v542wave	Core destroyed	70	0	320	490
midgard_s930802_A	midgard	930802	A	OPP	_v542wave	Core destroyed	94	0	350	910
midgard_s930802_B	midgard	930802	B	OPP	_v542wave	Core destroyed	94	0	420	840
paths_s930800_A	paths	930800	A	OPP	_v542wave	Core destroyed	136	0	320	620
paths_s930800_B	paths	930800	B	OPP	_v542wave	Core destroyed	161	0	380	650
paths_s930801_A	paths	930801	A	OPP	_v542wave	Core destroyed	185	0	440	510
paths_s930801_B	paths	930801	B	OPP	_v542wave	Core destroyed	161	0	380	650
paths_s930802_A	paths	930802	A	OPP	_v542wave	Core destroyed	126	0	290	550
paths_s930802_B	paths	930802	B	OPP	_v542wave	Core destroyed	138	0	320	570
skald_s930800_A	skald	930800	A	US	dup628	Core destroyed	186	0	1440	1000
skald_s930800_B	skald	930800	B	OPP	_v542wave	Core destroyed	422	0	1280	1370
skald_s930801_A	skald	930801	A	OPP	_v542wave	Core destroyed	201	0	1000	1560
skald_s930801_B	skald	930801	B	OPP	_v542wave	Core destroyed	372	0	1020	1060
skald_s930802_A	skald	930802	A	US	dup628	Core destroyed	148	0	1080	520
skald_s930802_B	skald	930802	B	US	dup628	Core destroyed	149	0	490	390
stavkirke_s930800_A	stavkirke	930800	A	OPP	_v542wave	Core destroyed	162	0	450	720
stavkirke_s930800_B	stavkirke	930800	B	US	dup628	Core destroyed	218	0	390	0
stavkirke_s930801_A	stavkirke	930801	A	OPP	_v542wave	Core destroyed	157	0	610	200
stavkirke_s930801_B	stavkirke	930801	B	US	dup628	Core destroyed	157	0	0	0
stavkirke_s930802_A	stavkirke	930802	A	OPP	_v542wave	Core destroyed	157	0	610	200
stavkirke_s930802_B	stavkirke	930802	B	US	dup628	Core destroyed	269	0	450	620
valkyrie_s930800_A	valkyrie	930800	A	US	dup628	Core destroyed	379	0	2200	3080
valkyrie_s930800_B	valkyrie	930800	B	OPP	_v542wave	Core destroyed	144	0	250	650
valkyrie_s930801_A	valkyrie	930801	A	OPP	_v542wave	Core destroyed	421	0	2380	3450
valkyrie_s930801_B	valkyrie	930801	B	OPP	_v542wave	Core destroyed	235	0	280	1100
valkyrie_s930802_A	valkyrie	930802	A	OPP	_v542wave	Core destroyed	213	0	600	1370
valkyrie_s930802_B	valkyrie	930802	B	OPP	_v542wave	Core destroyed	214	0	280	1000
yggdrasil_s930800_A	yggdrasil	930800	A	OPP	_v542wave	Core destroyed	152	0	50	350
yggdrasil_s930800_B	yggdrasil	930800	B	US	dup628	Core destroyed	196	0	460	460
yggdrasil_s930801_A	yggdrasil	930801	A	OPP	_v542wave	Core destroyed	192	0	50	450
yggdrasil_s930801_B	yggdrasil	930801	B	US	dup628	Core destroyed	281	0	670	0
