tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
shipA2_glacierkeep_g0	shipA2	glacierkeep	0	7400	A	US	_v513siegecrew	Core destroyed	217	0	160	0
shipA2_glacierkeep_g1	shipA2	glacierkeep	1	7401	B	US	_v513siegecrew	Core destroyed	193	0	0	0
shipA2_glacierkeep_g2	shipA2	glacierkeep	2	7402	A	US	_v513siegecrew	Core destroyed	144	0	300	0
shipA2_glacierkeep_g3	shipA2	glacierkeep	3	7403	B	US	_v513siegecrew	Core destroyed	185	0	20	0
shipA2_glacierkeep_g4	shipA2	glacierkeep	4	7404	A	US	_v513siegecrew	Core destroyed	193	0	160	0
shipA2_glacierkeep_g5	shipA2	glacierkeep	5	7405	B	US	_v513siegecrew	Titanium collected (tiebreak)	1000	0	170	0
shipA2_nordkap_g0	shipA2	nordkap	0	7400	A	US	_v513siegecrew	Core destroyed	373	0	2510	430
shipA2_nordkap_g1	shipA2	nordkap	1	7401	B	OPP	_v488beltbreak2	Core destroyed	435	0	170	4420
shipA2_nordkap_g2	shipA2	nordkap	2	7402	A	OPP	_v488beltbreak2	Core destroyed	232	0	300	1910
shipA2_nordkap_g3	shipA2	nordkap	3	7403	B	US	_v513siegecrew	Core destroyed	286	0	1830	410
shipA2_nordkap_g4	shipA2	nordkap	4	7404	A	US	_v513siegecrew	Core destroyed	740	0	180	240
shipA2_nordkap_g5	shipA2	nordkap	5	7405	B	OPP	_v488beltbreak2	Core destroyed	275	0	550	4680
shipA2_atoll_g0	shipA2	atoll	0	7400	A	OPP	_v488beltbreak2	Core destroyed	63	0	280	280
shipA2_atoll_g1	shipA2	atoll	1	7401	B	OPP	_v488beltbreak2	Core destroyed	224	0	330	1830
shipA2_atoll_g2	shipA2	atoll	2	7402	A	OPP	_v488beltbreak2	Core destroyed	409	0	1850	2570
shipA2_atoll_g3	shipA2	atoll	3	7403	B	OPP	_v488beltbreak2	Core destroyed	289	0	510	700
shipA2_atoll_g4	shipA2	atoll	4	7404	A	US	_v513siegecrew	Core destroyed	259	0	1480	420
shipA2_atoll_g5	shipA2	atoll	5	7405	B	OPP	_v488beltbreak2	Core destroyed	187	0	280	1240
shipA2_midgard_g0	shipA2	midgard	0	7400	A	OPP	_v488beltbreak2	Core destroyed	224	0	560	2370
shipA2_midgard_g1	shipA2	midgard	1	7401	B	OPP	_v488beltbreak2	Core destroyed	134	0	570	1520
shipA2_midgard_g2	shipA2	midgard	2	7402	A	OPP	_v488beltbreak2	Core destroyed	262	0	1560	2510
shipA2_midgard_g3	shipA2	midgard	3	7403	B	OPP	_v488beltbreak2	Core destroyed	264	0	500	3590
shipA2_midgard_g4	shipA2	midgard	4	7404	A	US	_v513siegecrew	Core destroyed	342	0	1200	390
shipA2_midgard_g5	shipA2	midgard	5	7405	B	OPP	_v488beltbreak2	Core destroyed	366	0	450	2440
shipA2_drakkarfjord_g0	shipA2	drakkarfjord	0	7400	A	US	_v513siegecrew	Core destroyed	171	0	1040	0
shipA2_drakkarfjord_g1	shipA2	drakkarfjord	1	7401	B	US	_v513siegecrew	Core destroyed	211	0	1140	230
shipA2_drakkarfjord_g2	shipA2	drakkarfjord	2	7402	A	US	_v513siegecrew	Core destroyed	298	0	2170	190
shipA2_drakkarfjord_g3	shipA2	drakkarfjord	3	7403	B	OPP	_v488beltbreak2	Core destroyed	233	0	340	1460
shipA2_drakkarfjord_g4	shipA2	drakkarfjord	4	7404	A	OPP	_v488beltbreak2	Core destroyed	259	0	320	1750
shipA2_drakkarfjord_g5	shipA2	drakkarfjord	5	7405	B	US	_v513siegecrew	Core destroyed	152	0	650	0
